843,101324,41,"CS","454","71","CSBHC"
847,101340,1,"CS","100","51","\N"
849,101349,1,"CS","100","52","\N"
888,101474,1,"CS","125","80","BIOINCSBH"
894,101474,3,"CS","134","74","BIOINCSBH"
898,101474,7,"CS","251","78","BIOINCSBH"
903,101474,11,"CS","241","50","BIOINCSBH"
904,101474,11,"CS","245","90","BIOINCSBH"
907,101474,13,"CS","240","60","BIOINCSBH"
908,101474,13,"CS","246","63","BIOINCSBH"
914,101474,17,"CS","341","59","BIOINCSBH"
915,101474,17,"CS","350","63","BIOINCSBH"
918,101474,21,"CS","456","33","BIOINCSBH"
919,101474,21,"CS","482","67","BIOINCSBH"
979,101629,1,"CS","114","60","MATH3G"
991,101764,1,"CS","100","64","\N"
1003,101859,1,"CS","135","77","MATHHC"
1012,101859,7,"CS","136","74","MATHHC"
1019,101859,13,"CS","241","64","MATHHC"
1020,101859,13,"CS","251","73","MATHHC"
1025,101859,17,"CS","246","68","CSHC"
1028,101859,21,"CS","240","58","CSHC"
1029,101859,21,"CS","245","40","CSHC"
1057,101869,1,"CS","100","95","\N"
1064,101890,1,"CS","100","65","\N"
1065,101903,1,"CS","137","95","SE"
1068,101903,3,"CS","138","81","SE"
1071,101903,11,"CS","241","82","SE"
1099,101932,1,"CS","444","86","\N"
1118,102023,1,"CS","100","86","\N"
1119,102023,9,"CS","200","68","\N"
1128,102160,1,"CS","135","67","MATHHC"
1145,102160,13,"CS","116","62","MATHHC"
1149,102160,17,"CS","234","45","MATHHC"
1154,102160,21,"CS","136","60","COMPMATHHC"
1172,102187,1,"CS","100","71","\N"
1183,102205,1,"CS","480","77","CSHC"
1184,102205,1,"CS","488","65","CSHC"
1185,102205,3,"CS","445","83","CSHC"
1186,102205,3,"CS","454","72","CSHC"
1187,102205,3,"CS","494","77","CSHC"
1197,102216,1,"CS","430","83","MATHCAHC"
1231,102333,1,"CS","100","88","\N"
1233,102356,1,"CS","100","73","\N"
1241,102376,1,"CS","125","88","\N"
1243,102402,1,"CS","100","82","\N"
1249,102531,1,"CS","125","93","MATHHC"
1254,102531,3,"CS","134","84","MATHHC"
1262,102531,11,"CS","241","69","CSBHC"
1263,102531,11,"CS","251","60","CSBHC"
1271,102531,17,"CS","245","72","CSBHC"
1272,102531,17,"CS","246","67","CSBHC"
1291,102546,1,"CS","131","93","MATHHC"
1296,102546,7,"CS","132","95","MATHHC"
1303,102546,13,"CS","134","92","MATHHC"
1342,102571,1,"CS","100","83","\N"
1357,102586,1,"CS","100","90","\N"
1370,102651,1,"CS","134","64","MATHCAHC"
1381,102651,11,"CS","330","82","MATHCAHC"
1387,102651,15,"CS","338","81","MATHCAHC"
1388,102651,15,"CS","432","80","MATHCAHC"
1405,102651,35,"CS","430","77","MATHCAHC"
1413,102688,1,"CS","100","81","\N"
1421,102732,1,"CS","342","70","CSHC"
1422,102732,1,"CS","360","89","CSHC"
1423,102732,1,"CS","370","86","CSHC"
1427,102732,7,"CS","341","75","CSHC"
1428,102732,7,"CS","354","81","CSHC"
1433,102732,13,"CS","486","79","CSHC"
1437,102732,17,"CS","448","84","CSHC"
1438,102732,17,"CS","466","71","CSHC"
1443,102745,1,"CS","134","71","CSH"
1449,102745,3,"CS","241","71","CSH"
1450,102745,3,"CS","251","56","CSH"
1454,102745,11,"CS","240","71","CSH"
1455,102745,11,"CS","246","70","CSH"
1458,102745,17,"CS","245","58","CSH"
1459,102745,17,"CS","350","57","CSH"
1460,102745,17,"CS","360","64","CSH"
1463,102745,23,"CS","341","68","CSBUSH"
1464,102745,23,"CS","348","85","CSBUSH"
1465,102745,23,"CS","370","59","CSBUSH"
1470,102745,31,"CS","456","79","CSBUSH"
1471,102745,31,"CS","458","79","CSBUSH"
1476,102763,1,"CS","133","61","CSHC"
1482,102763,3,"CS","134","43","CSHC"
1489,102763,11,"CS","134","68","CSHC"
1495,102763,17,"CS","241","62","CSHC"
1496,102763,17,"CS","251","52","CSHC"
1499,102763,23,"CS","240","65","CSBUSHC"
1500,102763,23,"CS","251","78","CSBUSHC"
1504,102763,31,"CS","245","70","CSBUSHC"
1505,102763,31,"CS","246","57","CSBUSHC"
1506,102763,31,"CS","348","61","CSBUSHC"
1510,102763,37,"CS","341","66","CSBUSHC"
1511,102763,37,"CS","350","74","CSBUSHC"
1516,102763,43,"CS","343","75","CSBBUSHC"
1517,102763,43,"CS","360","71","CSBBUSHC"
1518,102763,43,"CS","490","79","CSBBUSHC"
1520,102763,47,"CS","454","71","CSBBUSHC"
1521,102763,47,"CS","456","73","CSBBUSHC"
1539,102803,1,"CS","343","83","MATHEX"
1540,102803,1,"CS","350","87","MATHEX"
1557,102831,1,"CS","100","77","\N"
1558,102850,1,"CS","338","71","\N"
1559,102850,3,"CS","330","71","\N"
1560,102850,11,"CS","430","87","\N"
1564,102851,1,"CS","123","75","\N"
1584,102886,1,"CS","115","90","MACACRHC"
1592,102886,7,"CS","116","84","MACACRHC"
1598,102886,11,"CS","330","85","MACAFNCRHC"
1628,102936,1,"CS","330","80","MATHSCIHC"
1634,102936,9,"CS","338","89","MATHSCIHC"
1640,102936,15,"CS","432","84","MATHSCIHC"
1647,102936,21,"CS","436","65","MATHSCIHC"
1652,102976,1,"CS","100","81","\N"
1653,102976,21,"CS","200","81","\N"
1654,103004,1,"CS","100","77","\N"
1656,103004,3,"CS","200","80","\N"
1663,103027,1,"CS","133","91","SE"
1667,103027,3,"CS","134","90","SE"
1669,103027,11,"CS","241","70","SE"
1672,103027,17,"CS","240","72","SE"
1673,103027,17,"CS","246","79","SE"
1699,103119,1,"CS","115","71","MATHBAH"
1724,103216,1,"CS","130","93","CSHC"
1730,103216,3,"CS","134","83","CSHC"
1736,103216,11,"CS","241","79","CSHC"
1737,103216,11,"CS","251","77","CSHC"
1742,103216,17,"CS","240","79","CSHC"
1743,103216,17,"CS","245","81","CSHC"
1744,103216,17,"CS","246","80","CSHC"
1748,103216,23,"CS","341","73","CSBSEHC"
1749,103216,23,"CS","350","77","CSBSEHC"
1750,103216,23,"CS","365","79","CSBSEHC"
1756,103216,31,"CS","343","80","CSBSEHC"
1757,103216,31,"CS","445","72","CSBSEHC"
1758,103216,31,"CS","486","74","CSBSEHC"
1760,103216,37,"CS","446","72","CSBSEHC"
1761,103216,37,"CS","448","78","CSBSEHC"
1762,103216,37,"CS","456","65","CSBSEHC"
1763,103216,37,"CS","466","69","CSBSEHC"
1767,103216,43,"CS","447","88","CSBSEHC"
1768,103216,43,"CS","454","81","CSBSEHC"
1774,103242,1,"CS","135","27","CSBH"
1779,103242,3,"CS","115","33","CSBH"
1792,103272,1,"CS","115","83","BUSMATH"
1797,103272,3,"CS","116","63","BUSMATH"
1830,103308,1,"CS","115","36","MATHH"
1851,103349,1,"CS","133","83","MATHHC"
1857,103349,3,"CS","134","71","MATHHC"
1898,103354,1,"CS","370","52","\N"
1899,103354,3,"CS","473","45","\N"
1908,103370,1,"CS","131","75","MATHBAHC"
1914,103370,9,"CS","132","71","MATHBAHC"
1921,103370,15,"CS","134","74","MABAFOHC"
1927,103370,21,"CS","330","81","MABAFOHC"
1932,103370,29,"CS","338","67","MABAFOHC"
1962,103469,1,"CS","115","74","MATHHC"
1968,103469,3,"CS","116","50","MATHHC"
1991,103503,1,"CS","448","79","CSHC"
1992,103503,1,"CS","454","74","CSHC"
1998,103503,3,"CS","457","78","CSHC"
2018,103596,1,"CS","134","52","MATHH"
2026,103617,1,"CS","135","56","CSBHC"
2050,103659,1,"CS","123","77","\N"
2051,103659,7,"CS","126","66","\N"
2055,103676,1,"CS","125","84","\N"
2057,103677,1,"CS","133","42","MATHHC"
2107,103780,1,"CS","135","95","BUSMATH"
2112,103780,3,"CS","136","81","BUSMATH"
2206,103932,1,"CS","131","71","MATHHC"
2214,103957,1,"CS","100","69","\N"
2237,104009,1,"CS","133","63","CSBHC"
2253,104009,13,"CS","134","80","CSBHC"
2257,104009,17,"CS","241","73","CSBHC"
2258,104009,17,"CS","245","61","CSBHC"
2259,104009,17,"CS","251","76","CSBHC"
2265,104009,27,"CS","240","64","CSBHC"
2266,104009,27,"CS","246","70","CSBHC"
2292,104016,1,"CS","134","99","CSH"
2297,104016,3,"CS","241","99","CSH"
2298,104016,3,"CS","251","100","CSH"
2302,104016,11,"CS","240","98","CSH"
2303,104016,11,"CS","246","100","CSH"
2307,104016,13,"CS","341","100","CSH"
2308,104016,13,"CS","350","97","CSH"
2313,104016,21,"CS","371","99","CSH"
2314,104016,21,"CS","456","100","CSH"
2318,104016,23,"CS","365","97","CSH"
2319,104016,23,"CS","488","99","CSH"
2323,104016,31,"CS","462","100","CSH"
2324,104016,31,"CS","466","100","CSH"
2329,104016,33,"CS","489","100","CSH"
2330,104016,33,"CS","497","100","CSH"
2338,104184,1,"CS","354","71","CSH"
2339,104184,1,"CS","480","75","CSH"
2341,104184,3,"CS","448","80","CSH"
2342,104184,3,"CS","454","78","CSH"
2360,104213,1,"CS","200","70","\N"
2368,104278,1,"CS","245","53","MATHLP"
2391,104296,1,"CS","133","71","BUSMATH"
2396,104296,3,"CS","134","83","BUSMATH"
2425,104296,31,"CS","330","71","BUSMATH"
2431,104296,37,"CS","338","64","BUSMATH"
2434,104296,43,"CS","432","66","BUSMATH"
2446,104345,1,"CS","125","91","CSBHC"
2452,104345,3,"CS","134","83","CSBHC"
2458,104345,11,"CS","241","91","CSBHC"
2459,104345,11,"CS","245","76","CSBHC"
2464,104345,17,"CS","240","91","CSBHC"
2465,104345,17,"CS","246","83","CSBHC"
2471,104345,23,"CS","341","84","CSBDHWHC"
2472,104345,23,"CS","350","85","CSBDHWHC"
2473,104345,23,"CS","365","77","CSBDHWHC"
2476,104345,31,"CS","343","87","CSBDHWHC"
2477,104345,31,"CS","456","88","CSBDHWHC"
2478,104345,31,"CS","458","80","CSBDHWHC"
2484,104345,41,"CS","370","76","CSBDHWHC"
2485,104345,41,"CS","452","94","CSBDHWHC"
2486,104345,41,"CS","454","76","CSBDHWHC"
2497,104348,1,"CS","100","85","\N"
2505,104397,1,"CS","115","75","BUSMATH"
2543,104501,1,"CS","100","70","\N"
2545,104507,1,"CS","135","74","CSBHC"
