100056,100,1,81
100105,341,1,64
100105,448,1,61
100105,454,1,58
100105,488,3,58
100105,494,3,68
100105,452,7,75
100134,133,1,84
100134,134,7,79
100134,241,13,77
100134,251,13,81
100134,240,21,68
100134,246,21,76
100134,245,27,65
100134,350,27,65
100134,370,27,82
100134,341,33,61
100134,445,33,67
100134,348,41,57
100134,446,41,73
100134,454,41,85
100134,447,43,69
100134,456,43,84
100174,131,1,87
100174,132,7,81
100174,134,15,82
100253,133,1,62
100253,134,7,57
100253,241,13,39
100331,100,1,69
100435,200,1,62
100485,131,1,80
100485,132,3,91
100485,134,7,82
100485,251,7,77
100485,241,11,61
100485,240,17,78
100485,246,17,70
100485,341,21,64
100485,360,21,72
100485,370,21,78
100485,448,23,66
100485,349,27,79
100485,350,27,69
100485,343,31,78
100485,456,31,68
100485,486,37,71
100523,130,1,99
100523,134,7,88
100555,133,1,50
100618,100,1,70
100649,131,1,95
100649,132,3,92
100649,134,11,82
100721,100,1,68
100728,133,1,64
100728,134,3,76
100728,241,11,71
100728,251,11,76
100728,240,13,72
100728,245,13,76
100728,246,13,84
100728,341,21,76
100728,350,21,79
100728,349,23,84
100728,445,23,79
100728,448,23,77
100728,370,31,64
100728,446,31,94
100728,454,31,90
100728,447,33,83
100728,456,33,82
100728,486,33,73
100731,115,1,74
100770,338,1,83
100816,134,1,64
100816,241,3,46
100816,245,3,60
100816,241,7,66
100816,240,11,53
100816,246,11,46
100816,370,11,66
100816,246,13,68
100816,341,13,54
100816,360,13,56
100816,350,17,45
100816,448,17,57
100816,350,21,59
100816,454,21,63
100816,486,21,61
100816,343,31,57
100816,456,31,55
100831,135,1,90
100831,136,3,72
100991,100,1,70
100992,126,1,79
101069,100,1,78
101075,125,1,66
101083,234,1,75
101083,330,1,76
101112,338,1,90
101112,432,21,87
101132,350,1,97
101132,370,1,87
101132,486,1,85
101176,134,1,83
101258,133,1,92
101258,134,3,92
101288,125,1,39
101288,125,5,50
101288,134,11,60
101288,330,19,53
101324,130,1,71
101324,134,3,73
101324,241,11,66
101324,251,11,66
101324,240,17,59
101324,245,17,67
101324,246,17,71
101324,341,23,65
101324,360,23,57
101324,370,23,82
101324,349,27,58
101324,350,27,67
101324,442,33,59
101324,445,33,65
101324,456,33,59
101324,480,33,66
101324,446,41,78
101324,448,41,58
101324,454,41,71
101340,100,1,51
101349,100,1,52
101474,125,1,80
101474,134,3,74
101474,251,7,78
101474,241,11,50
101474,245,11,90
101474,240,13,60
101474,246,13,63
101474,341,17,59
101474,350,17,63
101474,456,21,33
101474,482,21,67
101629,114,1,60
101764,100,1,64
101859,135,1,77
101859,136,7,74
101859,241,13,64
101859,251,13,73
101859,246,17,68
101859,240,21,58
101859,245,21,40
101869,100,1,95
101890,100,1,65
101903,137,1,95
101903,138,3,81
101903,241,11,82
101932,444,1,86
102023,100,1,86
102023,200,9,68
102160,135,1,67
102160,116,13,62
102160,234,17,45
102160,136,21,60
102187,100,1,71
102205,480,1,77
102205,488,1,65
102205,445,3,83
102205,454,3,72
