,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
1,660573,444,21,77,452,29,80
2,398834,444,43,88,452,47,88
6,935517,444,31,80,452,35,93
7,673919,444,33,80,452,37,79
8,282169,444,43,88,452,47,89
9,939316,444,23,65,452,31,86
12,161887,444,43,70,452,51,78
13,165373,444,33,85,452,37,86
18,825960,444,23,72,452,31,80
23,961399,444,53,70,452,57,80
24,570398,444,43,77,452,47,74
25,963785,444,33,75,452,41,85
27,575590,444,21,73,452,29,82
29,712223,444,21,72,452,29,80
30,320136,444,33,97,452,37,91
35,723192,444,21,67,452,29,70
43,483364,444,23,72,452,37,14
48,881730,444,23,70,452,31,93
49,753020,444,41,89,452,49,92
50,363423,444,43,74,452,47,89
54,894931,444,23,70,452,31,83
55,766939,444,31,58,452,39,79
56,898306,444,33,74,452,37,77
59,910200,444,43,79,452,47,91
