CS350,CS445
67,73
83,81
64,91
68,64
75,83
90,78
94,95
30,71
80,85
77,71
81,77
58,64
65,80
70,70
75,72
71,73
68,65
80,78
50,71
90,70
86,68
71,63
82,78
50,77
81,77
70,44
72,72
70,77
88,79
81,88
73,84
80,77
70,81
62,84
70,68
80,64
85,76
69,76
80,75
74,85
77,83
54,65
74,72
61,61
43,67
74,67
71,87
63,79
71,77
34,56
61,56
76,77
43,77
66,77
87,70
66,54
75,77
71,68
75,78
72,65
78,74
62,70
70,78
35,36
35,66
67,36
67,66
79,67
82,76
73,69
72,73
33,45
64,69
66,69
76,82
51,77
58,60
70,67
74,95
43,79
82,79
80,64
54,65
60,46
63,80
52,79
75,80
86,76
71,62
80,76
85,81
82,80
73,81
93,90
72,88
41,83
60,83
70,63
62,83
74,74
52,67
58,78
83,74
62,83
63,80
72,82
56,70
60,78
72,80
57,75
70,87
87,88
73,83
85,90
68,64
66,66
65,78
75,82
80,59
84,79
72,83
65,84
80,76
70,73
59,80
75,89
82,82
71,92
72,77
79,73
43,79
67,79
55,70
55,77
70,82
82,79
41,58
69,58
63,72
70,39
58,71
55,69
68,76
71,82
69,78
38,68
87,82
86,89
65,71
73,50
80,84
60,42
60,70
70,72
76,74
83,84
44,75
61,75
75,75
65,82
72,87
88,87
63,79
62,77
72,77
67,77
86,77
87,92
69,79
69,73
75,63
73,81
63,78
68,65
74,69
66,88
71,73
78,91
78,77
74,79
62,70
74,81
34,68
64,68
78,68
70,83
70,78
79,74
80,84
57,87
82,91
78,73
72,68
81,80
62,72
65,89
77,72
60,78
82,84
88,75
72,76
67,72
65,80
70,81
57,80
50,71
74,93
72,80
70,82
64,75
83,67
70,61
62,91
70,67
73,75
77,83
72,72
70,78
76,66
72,76
62,78
55,79
73,72
67,78
39,72
78,72
93,84
64,87
63,46
66,72
65,67
79,79
72,79
77,46
67,65
73,77
74,83
50,67
77,72
64,83
85,71
61,66
74,78
37,70
72,70
82,68
75,73
79,72
77,74
74,80
72,79
76,93
67,81
83,84
76,67
78,64
69,78
70,64
41,81
61,81
84,90
80,80
62,82
41,61
45,61
67,61
73,75
72,76
68,58
80,88
75,81
40,71
50,71
80,76
55,69
74,84
68,85
74,89
43,74
64,65
71,77
94,66
71,67
57,75
71,71
66,80
58,66
80,76
51,73
70,69
51,45
77,75
55,81
77,75
63,76
60,70
42,83
77,83
80,84
54,71
61,85
65,72
86,77
59,88
