,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
1,663311,488,37,80,480,43,66
3,403305,488,27,56,480,33,63
6,537387,488,41,70,480,43,79
8,408158,488,11,79,480,13,83
10,803347,488,37,87,480,43,85
11,410216,488,21,71,480,23,82
12,284991,488,41,65,480,43,84
21,304812,488,17,59,480,23,76
24,453383,488,31,76,480,33,74
26,718511,488,27,74,480,33,83
30,206730,488,31,85,480,33,84
32,342216,488,29,79,480,31,74
33,867485,488,21,83,480,31,80
34,738198,488,41,81,480,43,77
37,616845,488,37,40,480,43,70
39,355015,488,27,73,480,33,78
40,486892,488,37,42,480,43,65
42,360593,488,27,71,480,31,50
43,242667,488,29,70,480,31,67
