grade1,grade2
73,73
71,73
84,50
90,80
69,68
84,73
88,83
94,75
64,50
90,57
81,57
75,72
83,61
79,52
80,79
95,52
78,60
100,91
95,86
83,64
94,81
79,78
65,63
80,67
78,72
75,64
95,90
81,73
85,77
70,61
88,73
86,68
87,89
74,73
90,94
78,55
92,77
91,78
93,79
69,52
72,43
79,53
88,82
85,69
84,75
95,84
79,62
84,66
70,50
44,71
63,50
58,32
58,50
94,26
94,86
81,61
64,72
84,52
90,67
87,63
74,85
90,64
82,88
87,78
64,50
85,67
87,43
87,78
57,53
82,64
89,61
73,71
80,77
66,64
90,87
73,54
76,74
80,75
88,89
83,71
85,67
74,65
94,61
68,74
81,68
96,78
89,55
69,55
90,80
79,59
92,82
91,89
90,78
79,50
88,54
95,75
94,90
74,53
89,75
79,64
80,74
80,50
81,58
80,67
83,67
59,55
88,75
82,56
84,50
91,68
84,74
70,65
82,71
81,77
90,83
96,81
88,64
84,82
78,39
61,70
73,68
76,68
83,77
71,68
86,36
78,80
91,78
81,65
89,60
84,79
80,59
93,55
76,68
89,71
84,55
58,79
75,66
63,54
87,72
83,44
83,59
