grade1,grade2
93,84
73,66
71,69
93,87
71,54
84,46
84,65
84,70
82,75
90,80
69,62
84,65
70,74
79,77
65,62
88,73
94,71
81,78
88,78
64,56
90,75
81,68
73,73
79,69
75,82
83,73
72,68
68,50
79,73
80,77
89,71
95,70
78,63
85,83
86,80
100,70
95,91
76,56
76,79
83,56
94,88
79,63
84,64
65,73
35,51
80,66
93,74
70,65
78,70
75,63
95,83
88,37
88,52
81,79
85,55
61,53
70,69
95,70
88,72
86,77
87,91
74,70
90,86
78,53
92,82
91,73
93,78
95,71
69,70
72,71
79,64
92,72
88,75
85,70
65,44
65,61
84,67
59,54
72,53
59,76
95,67
79,73
96,81
84,60
70,58
44,60
63,55
58,46
58,57
85,74
94,57
81,70
81,68
64,59
84,84
62,46
62,64
81,54
90,41
90,61
87,59
74,64
90,67
44,70
75,70
82,80
83,81
65,51
87,82
96,67
77,32
78,45
78,62
64,59
85,67
83,80
88,50
63,54
87,62
57,51
82,42
82,87
79,63
89,57
89,74
94,76
73,61
80,66
84,51
80,68
70,55
82,72
72,70
87,78
66,65
90,69
83,82
73,53
76,71
84,80
80,60
88,82
88,65
83,68
85,80
74,84
94,73
68,72
89,70
81,51
96,74
89,60
69,77
76,52
93,65
93,75
77,69
75,67
90,84
95,85
78,62
84,65
79,69
92,83
80,66
91,77
83,73
79,71
84,71
90,72
79,50
87,63
88,50
79,65
95,82
94,74
89,55
80,54
74,58
89,74
96,88
79,67
80,74
80,58
60,54
81,62
80,66
83,69
83,77
93,81
59,64
70,62
92,81
59,50
88,63
82,62
84,62
91,70
84,70
70,68
82,73
71,64
81,70
82,50
90,76
76,68
96,53
88,58
75,69
92,69
96,53
84,82
78,46
78,51
78,75
80,68
61,78
73,63
76,65
88,73
83,82
63,43
63,36
71,75
89,75
68,61
85,74
82,53
86,68
78,63
91,80
81,62
63,55
89,61
84,66
80,75
85,71
90,70
75,62
93,58
76,79
72,56
89,58
70,36
84,72
58,69
70,58
75,67
63,65
87,73
87,83
83,78
90,54
