,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,131188,240,23,64,486,57,50
1,131252,240,21,84,486,27,66
2,524634,240,21,72,486,41,82
3,262913,240,7,79,486,27,90
4,787296,240,11,73,486,27,52
5,525401,240,9,71,486,31,72
6,656627,240,11,72,486,21,67
7,656717,240,27,64,486,47,72
8,787843,240,7,61,486,27,75
9,394640,240,11,82,486,31,80
10,394865,240,31,68,486,41,68
11,526102,240,17,67,486,31,80
12,264142,240,9,85,486,15,83
13,788540,240,1,93,486,23,88
14,788547,240,17,60,486,37,67
15,526476,240,11,70,486,23,43
16,526476,240,11,70,486,31,43
17,133520,240,21,63,486,51,53
18,526806,240,21,62,486,41,58
19,264746,240,13,82,486,41,85
20,920196,240,21,57,486,47,60
21,264967,240,21,57,486,47,64
22,264967,240,27,76,486,47,64
23,265140,240,21,76,486,31,46
24,920646,240,17,87,486,31,91
25,396481,240,17,75,486,37,87
26,527861,240,1,85,486,17,86
27,790412,240,15,70,486,25,67
28,921584,240,7,76,486,33,50
29,266350,240,9,67,486,31,72
30,135634,240,1,73,486,15,91
31,135654,240,7,67,486,33,66
32,266750,240,27,67,486,41,72
33,528945,240,3,76,486,17,81
34,266931,240,11,79,486,37,84
35,398060,240,21,80,486,41,73
36,922902,240,15,61,486,31,57
37,136511,240,7,76,486,27,87
38,792065,240,21,67,486,37,60
39,136770,240,23,83,486,37,82
40,530055,240,13,73,486,31,55
41,923384,240,17,79,486,41,77
42,399262,240,13,50,486,31,55
43,661514,240,15,96,486,35,91
44,792757,240,9,89,486,31,97
45,530702,240,21,61,486,31,73
46,530835,240,21,67,486,29,79
47,399788,240,11,70,486,27,74
48,530912,240,11,54,486,41,80
49,269007,240,23,69,486,47,77
50,137990,240,27,84,486,43,80
51,924461,240,17,64,486,37,54
52,924489,240,21,76,486,41,73
53,793596,240,17,80,486,31,92
54,138354,240,9,73,486,29,75
55,400629,240,23,54,486,37,70
56,531965,240,21,56,486,41,62
57,925225,240,17,69,486,31,79
58,138796,240,7,77,486,27,90
59,138858,240,21,66,486,47,59
60,794306,240,17,75,486,43,71
61,663311,240,17,59,486,43,73
62,794400,240,21,59,486,43,71
63,794432,240,7,67,486,27,74
64,794618,240,1,73,486,23,71
65,139307,240,23,62,486,41,60
66,401612,240,21,69,486,43,78
67,532789,240,9,78,486,35,79
68,270650,240,21,84,486,41,72
69,794942,240,1,75,486,23,80
70,532935,240,13,65,486,31,57
71,795093,240,17,65,486,37,69
72,139739,240,13,76,486,37,77
73,270850,240,1,69,486,21,72
74,664243,240,21,58,486,41,88
75,795318,240,7,63,486,33,80
76,533296,240,27,61,486,43,59
77,271155,240,1,75,486,11,55
78,533465,240,15,76,486,35,83
79,271379,240,21,72,486,41,85
80,271472,240,13,70,486,41,83
81,533628,240,17,61,486,37,63
82,140636,240,17,74,486,41,72
83,271716,240,31,82,486,47,89
84,140941,240,9,73,486,29,83
85,796317,240,17,74,486,31,73
86,272064,240,21,69,486,43,81
87,403160,240,17,69,486,31,77
88,534333,240,13,64,486,37,62
89,927632,240,15,59,486,25,68
90,272299,240,19,62,486,35,61
91,403411,240,21,55,486,43,72
92,665647,240,13,71,486,27,78
93,141373,240,7,75,486,23,80
94,403527,240,9,76,486,21,75
95,534603,240,17,86,486,33,89
96,534620,240,23,61,486,43,74
97,403610,240,7,75,486,27,60
98,928379,240,13,79,486,43,74
99,928493,240,13,70,486,41,74
100,404241,240,1,53,486,29,57
101,273177,240,21,62,486,43,67
102,273411,240,15,69,486,29,81
103,535638,240,13,68,486,27,79
104,535722,240,1,71,486,27,54
105,404743,240,17,91,486,43,96
106,142701,240,17,57,486,41,59
107,798141,240,1,70,486,21,67
108,536105,240,21,85,486,41,86
