,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
1,525934,480,29,73,456,31,73
2,265140,480,31,52,456,35,50
4,527861,480,11,80,456,13,90
7,927632,480,21,74,456,25,57
9,404241,480,29,78,456,49,57
13,146062,480,33,45,456,37,45
14,146062,480,33,45,456,41,62
20,803496,480,41,82,456,43,64
23,672977,480,31,81,456,37,80
24,149299,480,31,69,456,35,56
25,280945,480,23,71,456,27,60
28,808173,480,23,75,456,27,74
31,284233,480,21,75,456,23,67
33,284731,480,29,73,456,31,70
34,416069,480,23,80,456,27,60
38,811750,480,11,74,456,13,53
46,160927,480,23,59,456,31,59
48,423722,480,27,63,456,31,55
49,423961,480,21,73,456,25,57
50,424473,480,41,80,456,43,90
51,555885,480,23,81,456,27,73
54,689328,480,21,80,456,23,85
60,824996,480,41,83,456,43,57
65,695597,480,13,78,456,17,93
68,961343,480,29,83,456,31,81
69,831735,480,29,82,456,35,77
70,832340,480,31,76,456,33,81
71,178609,480,31,77,456,35,67
75,838344,480,31,82,456,33,69
76,315048,480,23,66,456,27,43
78,316009,480,21,72,456,23,74
79,972460,480,31,80,456,37,73
82,973110,480,21,80,456,23,68
93,192756,480,31,85,456,37,63
97,194747,480,23,82,456,27,87
100,981625,480,31,84,456,37,89
107,199112,480,31,85,456,33,89
109,855212,480,21,79,456,23,80
110,462370,480,23,75,456,27,67
111,724718,480,21,77,456,23,71
120,990822,480,31,58,456,35,55
124,735525,480,41,72,456,43,52
125,342706,480,41,80,456,43,89
133,869491,480,13,75,456,21,79
146,221274,480,29,76,456,31,69
150,224963,480,31,89,456,37,77
153,228343,480,33,80,456,37,73
157,360593,480,31,50,456,33,54
163,627180,480,39,87,456,41,77
168,500330,480,21,85,456,23,70
169,894735,480,33,82,456,41,53
170,894965,480,23,64,456,37,67
175,766651,480,23,67,456,27,66
178,112786,480,41,76,456,43,50
179,900444,480,21,76,456,23,81
180,901605,480,21,82,456,23,76
184,119339,480,41,74,456,43,64
187,383689,480,33,70,456,47,58
192,910137,480,19,79,456,21,68
196,653126,480,31,89,456,37,82
