,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
4,920646,486,31,91,446,37,90
10,271155,486,11,55,446,15,66
12,403527,486,21,75,446,29,82
19,674299,486,31,84,446,37,93
45,434052,486,31,87,446,37,73
51,312164,486,31,67,446,37,67
52,574548,486,25,59,446,29,76
57,185693,486,31,80,446,37,69
62,712223,486,19,79,446,25,78
65,976944,486,27,69,446,31,80
66,846387,486,23,93,446,31,80
78,197881,486,31,81,446,37,72
81,986213,486,17,83,446,21,74
82,200458,486,33,70,446,41,88
87,595358,486,27,75,446,31,76
97,739497,486,37,63,446,57,81
109,103216,486,31,74,446,37,72
120,110707,486,13,75,446,21,76
125,121072,486,13,88,446,17,85
128,518208,486,31,72,446,37,76
134,261605,486,27,88,446,31,82
135,130852,486,33,62,446,41,62
