CS251,CS462
83,60
89,78
87,92
76,82
92,76
68,58
94,88
77,55
85,97
72,70
81,72
69,52
82,52
81,51
88,85
78,75
73,38
73,44
93,91
68,76
86,73
57,40
91,94
83,85
84,58
66,56
85,100
67,68
81,83
82,72
83,62
66,72
84,89
95,95
71,77
92,91
88,97
93,100
85,95
82,68
95,85
95,100
75,84
88,90
73,71
63,65
93,71
83,92
87,91
94,100
100,98
78,76
83,71
70,67
92,87
91,88
86,65
90,100
92,92
77,53
85,79
85,94
83,93
65,94
58,96
91,63
80,78
70,100
80,94
84,77
88,73
87,77
74,84
78,86
79,64
81,11
79,83
64,67
94,77
72,84
69,79
66,52
92,75
77,100
76,70
78,69
73,61
81,79
72,55
64,33
65,68
85,56
76,72
77,71
80,78
79,96
73,52
100,100
94,87
85,78
82,70
87,89
87,100
72,58
97,100
84,100
75,58
62,65
89,94
95,94
80,57
96,67
68,66
76,68
93,82
69,71
71,52
