,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,525934,120,1,82,132,5,73
1,927632,120,1,93,132,5,90
2,539567,120,1,89,132,7,86
3,542140,120,1,94,132,5,79
4,411831,120,1,90,132,7,84
5,679013,120,1,71,132,7,88
6,816273,120,1,81,132,5,74
7,165577,120,1,94,132,7,92
8,307903,120,1,68,132,7,62
9,456329,120,1,67,132,5,58
10,198769,120,1,68,132,5,80
11,342706,120,1,98,132,7,91
12,217088,120,1,88,132,7,79
13,881832,120,1,80,132,7,83
14,751003,120,1,95,132,7,93
15,627180,120,1,89,132,5,81
16,239685,120,1,87,132,5,84
17,642550,120,1,87,132,7,85
