CS246,CS445
73,79
67,63
81,80
66,73
87,81
61,61
54,91
70,64
69,83
74,62
87,100
82,78
85,95
80,71
75,81
50,76
70,85
76,70
71,71
70,77
73,74
75,81
43,64
65,64
71,78
73,77
65,44
61,80
62,70
73,72
67,71
50,73
82,65
78,78
74,46
74,80
63,61
82,77
77,79
56,71
75,70
70,74
87,68
80,63
82,86
77,78
70,77
65,44
73,72
62,84
78,74
77,77
93,79
83,84
70,88
68,88
73,84
73,77
51,81
70,84
73,68
83,64
80,83
74,84
69,88
76,82
85,87
80,76
87,76
70,75
68,85
70,83
60,65
81,77
69,78
70,72
63,61
64,67
63,87
68,79
87,77
55,56
56,77
85,91
69,79
64,77
76,70
77,74
37,54
73,54
91,77
70,74
64,45
73,68
81,78
78,65
72,74
70,70
76,66
82,90
59,78
79,67
70,76
74,56
72,80
75,69
88,73
60,45
77,84
55,69
53,69
80,82
62,77
67,60
52,67
75,82
78,95
70,79
69,87
91,84
63,64
82,65
83,73
73,79
70,76
70,46
81,80
79,83
79,79
65,62
86,80
77,65
88,76
66,62
82,76
72,87
78,74
88,81
70,66
75,80
71,81
80,83
84,90
75,72
75,84
55,66
65,67
88,88
71,83
71,78
72,81
59,83
64,63
74,83
60,74
82,73
62,67
79,85
69,78
87,74
53,83
76,72
81,80
72,84
76,82
76,70
78,78
59,80
55,75
71,87
74,78
77,88
80,83
91,90
72,64
83,66
78,89
68,53
87,78
85,84
70,82
51,59
71,77
65,75
73,83
81,75
82,90
80,79
70,64
95,84
66,83
53,74
55,84
67,69
76,76
71,86
79,82
46,73
66,73
70,80
67,80
80,89
56,66
81,84
72,81
64,85
80,82
83,92
60,77
84,87
94,73
76,79
73,77
65,70
53,77
79,82
73,79
45,58
62,58
60,72
68,39
68,71
67,69
69,72
69,76
68,82
65,78
74,84
70,68
76,82
76,69
85,89
88,89
72,80
56,71
87,81
72,50
86,89
77,84
71,68
50,42
50,70
71,72
85,74
77,88
82,84
38,75
67,75
73,77
67,75
93,63
83,82
98,89
69,75
79,87
79,87
68,79
82,81
52,77
77,66
81,77
77,77
74,75
78,77
74,89
90,92
77,74
63,79
80,94
65,73
78,81
72,63
68,91
71,81
64,78
55,65
60,69
59,88
76,73
89,91
77,81
78,77
85,87
74,77
80,87
73,74
69,76
73,70
90,79
64,71
50,71
78,95
78,70
79,81
79,78
60,68
76,79
75,68
74,83
67,78
73,74
76,84
77,81
70,87
75,91
83,73
77,67
85,68
80,80
67,72
58,89
75,76
78,76
72,72
74,88
84,95
76,78
79,84
70,83
72,75
80,79
59,76
75,72
73,80
87,81
64,80
50,64
77,71
80,88
71,93
82,76
82,78
79,82
71,80
84,90
72,82
72,75
84,67
70,79
75,61
89,84
78,82
83,89
69,79
80,85
85,91
68,83
80,67
80,82
85,75
82,83
69,80
61,64
70,72
54,78
75,76
78,66
59,76
64,80
80,79
66,63
78,78
64,79
72,72
64,79
69,85
68,78
50,72
90,84
71,87
66,46
65,72
76,67
69,82
84,79
83,79
61,65
59,46
71,65
78,76
83,86
74,80
51,78
81,77
60,83
81,67
80,72
70,83
69,64
70,71
70,70
73,67
76,66
63,78
74,70
71,76
84,88
68,68
82,73
73,72
82,80
74,74
88,81
68,80
72,79
62,93
68,79
80,69
75,81
93,84
73,67
55,64
62,78
74,64
86,96
72,81
80,90
62,80
82,82
60,61
76,98
74,77
70,76
82,82
56,81
64,75
75,76
61,58
65,68
85,88
64,71
86,76
60,69
70,84
72,88
71,85
91,89
78,70
90,89
73,70
70,74
70,65
73,77
73,66
75,93
82,67
62,68
69,75
73,71
77,84
50,80
77,66
88,76
56,70
64,74
62,73
70,73
75,69
56,45
65,75
84,84
76,81
83,75
65,76
62,74
55,70
79,83
55,67
77,88
82,84
70,72
52,71
75,85
83,72
82,77
60,88
