grade1,grade2
80,59
82,79
80,80
72,73
87,60
69,65
65,68
75,81
82,82
75,87
66,68
91,90
81,71
77,83
91,93
91,86
55,63
76,64
66,64
71,51
62,42
62,68
75,96
91,91
85,81
80,84
79,62
46,60
81,60
78,90
83,82
77,81
74,40
74,85
80,86
73,77
86,50
65,45
65,64
74,47
85,82
86,68
72,71
85,80
78,67
88,58
93,88
70,46
81,45
81,50
86,91
85,77
67,75
75,85
69,57
78,59
58,72
82,63
76,40
76,73
66,79
78,85
68,82
82,70
73,25
56,38
58,72
77,67
73,82
70,85
80,72
76,76
90,91
74,80
87,65
83,80
80,67
79,83
92,86
81,67
50,60
71,75
76,59
89,86
70,66
80,87
84,70
80,85
73,86
60,72
69,86
67,71
81,81
81,85
78,83
78,78
68,75
76,86
67,80
79,36
79,81
93,87
97,88
79,78
76,82
58,54
74,41
85,94
84,37
84,52
57,66
81,77
84,92
79,73
66,72
79,88
79,61
71,69
88,88
75,71
81,90
63,62
91,93
87,84
67,71
93,82
85,61
75,82
86,83
90,81
73,42
73,57
61,41
72,53
64,76
78,79
85,72
82,71
88,94
77,81
76,68
75,70
87,74
79,63
95,87
45,66
69,66
73,71
88,84
79,79
80,78
77,65
84,69
80,73
93,94
79,79
66,65
67,73
81,76
85,66
77,60
85,84
80,65
60,66
84,73
69,40
69,83
91,75
81,63
70,55
87,90
63,61
73,75
76,81
88,91
77,57
78,28
78,78
63,50
90,74
68,60
90,92
89,77
93,93
70,80
95,90
85,82
80,85
82,91
57,70
91,90
77,47
77,72
64,66
82,82
70,75
60,68
70,59
64,37
64,45
61,31
61,75
71,81
78,50
68,83
83,80
78,80
69,67
93,84
65,74
68,76
54,44
54,70
43,67
64,67
75,68
74,71
84,70
73,50
50,79
63,47
63,71
64,68
79,41
79,72
64,76
81,68
76,82
75,72
61,88
79,72
60,65
65,88
63,78
65,74
73,72
50,88
76,88
77,57
66,75
91,94
70,70
59,75
65,62
58,72
79,63
67,77
64,87
84,74
83,86
79,63
84,93
91,80
67,65
73,70
50,60
73,77
80,58
76,62
61,73
