,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,265752,445,21,81,457,33,73
1,671320,445,13,82,457,23,58
2,802531,445,9,78,457,21,83
4,934488,445,31,76,457,43,80
5,410494,445,33,83,457,43,64
7,677437,445,21,68,457,23,85
8,809553,445,31,74,457,43,73
9,689339,445,21,72,457,31,73
11,963543,445,13,89,457,23,70
12,440275,445,13,90,457,23,72
13,316033,445,31,58,457,43,59
14,712223,445,19,80,457,21,77
15,581981,445,13,89,457,23,65
17,586994,445,23,77,457,33,69
18,731918,445,23,72,457,33,73
21,745016,445,23,67,457,33,60
22,491898,445,13,85,457,23,68
23,374049,445,31,64,457,33,56
25,388684,445,41,75,457,53,77
