,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,659166,134,7,46,234,21,81
1,659166,134,11,81,234,21,81
2,923620,134,3,72,234,31,70
3,662695,134,7,56,234,37,52
4,927838,134,7,58,234,27,69
5,665907,134,21,57,234,41,56
6,149272,134,23,30,234,57,60
7,149272,134,37,62,234,57,60
8,808030,134,13,50,234,21,71
9,549771,134,1,58,234,21,68
10,953877,134,3,61,234,31,63
11,955189,134,7,58,234,25,64
12,300271,134,11,78,234,21,83
13,181761,134,7,65,234,21,72
14,708493,134,9,70,234,29,70
15,450561,134,3,83,234,27,86
16,714194,134,7,55,234,27,82
17,714194,134,13,76,234,27,82
18,845973,134,13,50,234,41,72
19,456329,134,9,64,234,35,51
20,458718,134,3,65,234,21,76
21,987083,134,7,50,234,41,77
22,992704,134,27,54,234,47,75
23,472361,134,11,69,234,27,54
24,472361,134,11,69,234,31,80
25,741943,134,1,76,234,17,91
26,874130,134,11,67,234,21,84
27,874976,134,11,68,234,31,73
28,622463,134,11,64,234,47,63
29,755107,134,13,46,234,31,71
30,755107,134,21,71,234,31,71
31,766745,134,13,76,234,17,74
32,636892,134,1,43,234,25,66
33,636892,134,11,73,234,25,66
34,246253,134,11,68,234,31,73
35,379428,134,23,71,234,31,62
36,784726,134,23,41,234,31,64
37,784726,134,27,53,234,31,64
