,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
36,265140,370,19,42,246,25,65
49,265831,370,13,62,246,17,50
68,660594,370,21,45,246,23,65
78,398948,370,7,67,246,11,74
98,530835,370,19,72,246,21,74
246,275984,370,21,65,246,25,68
249,538243,370,13,66,246,17,70
358,150060,370,17,65,246,25,55
394,152510,370,13,70,246,21,72
428,154687,370,33,70,246,41,53
430,679013,370,33,47,246,41,52
454,811750,370,1,71,246,3,75
593,688654,370,13,72,246,17,65
663,561100,370,19,45,246,29,54
751,173740,370,29,76,246,41,57
783,831219,370,15,63,246,21,59
913,839734,370,21,40,246,27,34
928,316033,370,17,41,246,21,62
957,448591,370,27,37,246,33,50
978,318668,370,21,73,246,23,80
981,318789,370,21,45,246,29,51
982,318789,370,25,65,246,29,51
994,712311,370,33,58,246,43,87
1071,454225,370,27,64,246,33,93
1220,332396,370,11,73,246,13,50
1272,859548,370,31,62,246,33,39
1289,467655,370,17,59,246,21,63
1365,603463,370,47,81,246,51,69
1474,479549,370,15,74,246,19,74
1510,351376,370,9,74,246,11,50
1596,882074,370,21,83,246,23,77
1636,622463,370,23,73,246,27,46
1638,491431,370,21,61,246,23,64
1653,754307,370,15,64,246,21,50
1686,100816,370,11,66,246,13,68
1868,899194,370,27,63,246,31,63
1875,244302,370,13,78,246,17,65
1910,901942,370,23,93,246,31,75
1934,641436,370,19,80,246,25,64
1939,379428,370,31,65,246,51,52
1958,904836,370,15,78,246,21,68
1981,512823,370,27,65,246,33,59
2001,776533,370,1,45,246,7,72
2061,910893,370,17,83,246,23,77
