,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,655430,251,13,78,240,27,72
1,131188,251,17,71,240,23,64
2,131205,251,11,92,240,17,82
3,131252,251,13,84,240,21,84
4,917788,251,3,83,240,11,51
5,524634,251,13,86,240,21,72
6,918214,251,11,79,240,13,80
7,262913,251,1,77,240,7,79
8,918323,251,1,74,240,9,76
9,787281,251,11,84,240,17,82
10,787296,251,3,84,240,11,73
11,918408,251,13,60,240,23,59
12,525401,251,1,73,240,9,71
14,787766,251,3,74,240,11,74
15,656717,251,13,68,240,27,64
16,263554,251,7,83,240,13,73
17,787843,251,1,69,240,7,61
18,394640,251,3,89,240,11,82
19,525934,251,11,67,240,15,53
20,394865,251,17,62,240,31,68
21,526102,251,11,75,240,17,67
22,263986,251,1,87,240,7,92
23,526165,251,11,96,240,13,90
25,526365,251,11,63,240,21,50
26,526365,251,11,63,240,25,61
29,788547,251,11,58,240,17,60
31,919720,251,11,91,240,17,82
32,133520,251,13,69,240,21,63
33,395676,251,9,61,240,19,52
34,526806,251,13,77,240,21,62
36,920196,251,13,56,240,21,57
38,133890,251,1,67,240,7,67
39,264967,251,13,73,240,21,57
40,264967,251,13,73,240,27,76
41,265106,251,1,92,240,7,82
42,265140,251,15,52,240,21,76
43,396242,251,7,69,240,11,51
44,134110,251,11,86,240,17,95
45,920646,251,11,93,240,17,87
47,396481,251,11,59,240,17,75
48,658701,251,1,63,240,9,63
49,789824,251,11,80,240,19,73
51,396798,251,17,93,240,21,82
52,396813,251,1,74,240,7,73
53,265752,251,1,67,240,7,56
54,265831,251,11,69,240,17,63
55,265956,251,7,85,240,17,62
57,790412,251,11,62,240,15,70
58,528297,251,13,78,240,21,77
59,266156,251,11,79,240,17,68
60,921584,251,1,67,240,7,76
61,266249,251,11,81,240,17,77
62,266350,251,1,76,240,9,67
63,266465,251,13,78,240,27,72
66,135654,251,1,67,240,7,67
67,266750,251,21,72,240,27,67
68,528945,251,1,84,240,3,76
69,791160,251,1,87,240,9,74
71,398060,251,13,68,240,21,80
72,398071,251,1,68,240,7,64
73,660594,251,11,46,240,21,53
74,660594,251,13,67,240,21,53
75,267393,251,11,96,240,17,75
76,922902,251,5,64,240,15,61
77,136511,251,1,79,240,7,76
78,267721,251,11,78,240,17,85
79,398834,251,11,78,240,17,70
80,398848,251,13,62,240,21,56
81,792065,251,11,59,240,21,67
82,136770,251,17,86,240,23,83
83,398948,251,3,82,240,11,63
84,530055,251,11,69,240,13,73
85,136858,251,11,94,240,13,99
86,923384,251,11,76,240,17,79
87,792349,251,1,72,240,7,69
88,661296,251,11,58,240,23,50
89,399262,251,3,66,240,13,50
90,923620,251,11,86,240,23,44
91,923674,251,5,78,240,7,81
92,399422,251,1,84,240,9,76
93,530559,251,7,65,240,15,67
94,792757,251,1,94,240,9,89
95,530702,251,11,65,240,21,61
96,137521,251,7,85,240,11,67
