,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,655430,131,1,87,240,27,72
1,394865,131,1,74,240,31,68
2,526165,131,1,97,240,13,90
3,526365,131,1,73,240,21,50
4,526365,131,1,73,240,25,61
5,265140,131,1,89,240,21,76
6,790931,131,1,76,240,17,76
7,266750,131,1,88,240,27,67
8,136770,131,1,83,240,23,83
9,530559,131,1,72,240,15,67
10,530702,131,1,81,240,21,61
11,530835,131,1,76,240,21,67
12,137990,131,1,84,240,27,84
13,400629,131,1,86,240,23,54
14,924921,131,1,98,240,17,81
15,532023,131,1,94,240,15,77
16,139927,131,1,82,240,27,59
17,271716,131,1,94,240,31,82
18,533953,131,1,50,240,23,41
19,533953,131,1,50,240,37,74
20,272299,131,1,64,240,19,62
21,927823,131,1,90,240,27,68
22,141393,131,1,45,240,33,63
23,141393,131,7,98,240,33,63
24,534620,131,1,80,240,23,61
25,273411,131,1,83,240,15,69
26,535638,131,1,88,240,13,68
27,405442,131,1,76,240,23,80
28,274882,131,1,82,240,27,62
29,538243,131,1,93,240,17,75
30,407379,131,1,92,240,27,86
31,933068,131,1,85,240,21,80
32,278032,131,1,94,240,27,89
33,804026,131,1,97,240,21,73
34,674288,131,1,85,240,21,66
35,674495,131,1,46,240,25,51
36,674495,131,5,50,240,25,51
37,675371,131,1,89,240,15,75
38,544834,131,1,91,240,19,67
39,546579,131,1,86,240,33,60
40,416608,131,1,93,240,23,67
41,154687,131,1,60,240,41,46
42,155674,131,1,92,240,15,81
43,288426,131,1,76,240,17,61
44,945996,131,1,94,240,31,78
45,553068,131,1,86,240,27,69
46,947140,131,1,77,240,27,75
47,291891,131,1,89,240,33,89
48,554702,131,1,89,240,27,92
49,423722,131,1,88,240,15,57
50,292930,131,1,95,240,27,79
51,818164,131,1,90,240,17,76
52,163852,131,1,92,240,21,81
53,426693,131,1,91,240,31,62
54,951816,131,1,73,240,15,84
55,428007,131,1,97,240,17,84
56,690183,131,1,86,240,15,57
57,690378,131,1,39,240,33,47
58,166635,131,1,66,240,29,53
59,691539,131,1,83,240,25,53
60,823053,131,1,86,240,27,79
61,169231,131,1,85,240,37,70
62,563222,131,1,83,240,23,79
63,694658,131,1,92,240,21,67
64,827970,131,1,97,240,21,85
65,828202,131,1,78,240,15,67
66,959339,131,1,80,240,21,63
67,173087,131,1,68,240,25,63
68,959987,131,1,64,240,31,36
69,959987,131,1,64,240,33,70
70,961292,131,1,85,240,23,70
71,175111,131,1,90,240,17,65
72,437503,131,1,75,240,19,71
73,568680,131,7,87,240,33,62
74,831219,131,1,80,240,21,76
75,569944,131,1,95,240,15,77
76,964997,131,1,86,240,13,61
77,178609,131,1,93,240,21,54
78,966157,131,5,94,240,19,60
79,442320,131,1,82,240,25,70
80,967500,131,1,58,240,43,60
81,443708,131,1,84,240,13,82
82,836955,131,1,81,240,27,89
83,445348,131,1,93,240,17,71
84,576550,131,1,93,240,15,56
85,316033,131,1,76,240,17,66
86,185080,131,1,60,240,21,76
87,840768,131,1,81,240,15,77
88,448591,131,1,85,240,33,50
89,973230,131,1,57,240,23,50
90,842542,131,1,88,240,19,56
91,318789,131,1,74,240,29,64
92,712311,131,1,69,240,33,53
93,843737,131,1,81,240,29,67
94,974916,131,1,99,240,17,73
95,451429,131,1,79,240,19,58
96,976970,131,3,84,240,33,68
97,190969,131,1,86,240,15,58
98,977405,131,1,85,240,17,74
99,191006,131,7,89,240,31,68
100,322683,131,1,62,240,19,50
101,848930,131,1,79,240,27,69
102,193702,131,1,87,240,15,77
103,325448,131,1,94,240,21,69
104,194747,131,1,86,240,13,86
105,460185,131,1,87,240,31,78
106,460210,131,1,72,240,15,71
107,329242,131,1,93,240,13,76
108,199112,131,1,90,240,21,72
109,724257,131,1,81,240,33,64
110,855333,131,1,95,240,19,69
111,462370,131,1,88,240,17,69
112,986829,131,1,87,240,15,62
113,986951,131,1,95,240,15,74
114,594032,131,1,76,240,23,63
115,857058,131,1,87,240,17,53
116,990822,131,1,92,240,21,57
117,729651,131,1,68,240,27,57
118,598805,131,1,87,240,21,72
119,730056,131,1,93,240,21,73
120,992622,131,7,93,240,33,74
121,600205,131,1,81,240,17,64
122,469242,131,1,85,240,17,78
123,469473,131,1,96,240,15,81
124,470315,131,1,87,240,27,70
125,603463,131,1,78,240,47,68
126,603550,131,1,86,240,27,85
127,603786,131,1,84,240,13,62
128,475199,131,1,89,240,17,77
129,868699,131,1,88,240,15,66
130,347233,131,1,87,240,17,64
131,871671,131,1,86,240,15,38
132,871671,131,1,86,240,19,53
133,609843,131,1,96,240,19,57
134,348184,131,1,82,240,23,76
135,479549,131,1,88,240,19,76
136,742443,131,1,82,240,23,66
137,742951,131,1,86,240,19,57
138,612889,131,1,94,240,23,55
139,351725,131,1,94,240,21,89
140,483239,131,1,86,240,17,54
141,484317,131,1,93,240,13,75
142,225543,131,1,63,240,25,80
143,619241,131,1,87,240,13,62
144,882074,131,1,85,240,23,86
145,883450,131,1,73,240,21,64
146,621636,131,1,85,240,13,82
147,754307,131,1,44,240,21,52
148,754307,131,5,62,240,21,52
149,230295,131,1,91,240,15,78
150,230455,131,1,73,240,13,62
151,362557,131,1,83,240,21,69
152,100485,131,1,80,240,17,78
153,887826,131,1,91,240,27,73
154,757882,131,1,85,240,23,70
155,364752,131,1,70,240,21,66
156,761126,131,1,68,240,21,61
157,368181,131,1,75,240,17,67
158,237627,131,1,93,240,27,57
159,762273,131,1,76,240,17,62
160,631757,131,1,74,240,27,59
161,894171,131,1,91,240,17,65
162,632883,131,1,98,240,21,84
163,372433,131,1,80,240,27,70
164,504135,131,1,83,240,13,83
165,767256,131,1,71,240,31,73
166,899194,131,1,36,240,31,62
167,899194,131,3,85,240,31,62
168,244302,131,1,70,240,13,68
