grade1,grade2
73,77
76,85
82,81
70,74
51,86
86,95
69,74
78,49
82,77
83,91
80,80
79,85
73,54
75,81
77,76
78,74
43,84
65,84
64,53
80,87
74,86
73,73
73,55
70,60
74,63
83,73
77,65
84,76
69,76
83,95
61,62
81,85
52,60
60,50
77,66
50,60
81,67
46,63
73,63
60,69
73,74
67,76
56,54
62,41
75,70
75,83
79,64
68,71
68,75
66,65
80,42
70,72
81,85
70,70
73,72
71,50
67,84
59,67
65,65
88,87
80,83
70,82
82,65
67,78
61,73
70,73
78,76
70,71
70,77
79,95
92,82
73,77
85,70
81,84
70,90
68,74
74,66
69,46
70,85
63,72
91,83
82,95
81,73
59,80
60,83
80,70
80,72
87,77
85,82
88,76
86,85
67,72
71,53
69,83
82,83
64,65
65,78
67,64
81,73
73,78
86,88
56,87
73,90
76,84
67,65
68,62
66,61
75,90
64,66
79,76
77,63
78,76
82,85
60,39
70,67
72,71
74,69
78,72
71,75
74,81
72,77
88,77
80,82
82,61
83,79
68,67
72,74
63,67
70,66
76,71
83,80
76,70
70,66
60,72
83,69
76,78
72,65
80,86
61,77
70,87
72,62
66,72
66,66
52,50
72,67
79,74
60,77
55,71
75,67
84,81
64,77
95,74
52,46
70,76
70,91
85,67
72,73
56,80
63,60
77,60
63,50
72,81
72,73
79,62
76,78
75,84
82,62
70,61
60,73
72,54
81,68
86,86
68,73
76,70
75,86
71,66
70,44
71,60
73,75
67,66
78,83
78,90
83,74
55,60
78,64
73,68
97,93
72,64
63,80
82,96
95,82
81,82
81,71
72,76
75,81
79,85
90,83
69,80
87,74
73,69
94,89
74,90
59,67
62,75
63,23
71,66
77,88
65,87
82,83
86,98
64,80
88,75
80,82
84,83
78,76
59,78
80,56
77,88
79,63
91,87
57,56
77,60
60,52
61,60
81,84
74,77
91,93
80,87
72,69
100,93
51,80
54,74
68,78
65,67
83,94
90,93
57,64
77,82
86,69
73,65
74,83
77,80
82,67
65,77
80,83
57,63
46,50
64,50
71,66
70,70
75,69
77,70
51,50
63,66
78,78
76,72
70,72
65,72
95,84
81,80
73,52
78,87
85,97
66,64
46,73
63,73
89,91
76,81
82,83
70,56
91,71
76,69
87,67
74,53
86,82
74,80
66,50
70,61
90,86
94,91
67,73
82,73
74,67
74,53
53,66
79,83
91,82
53,50
72,71
68,76
67,55
60,76
67,80
61,42
68,76
76,89
57,65
44,77
80,77
82,78
78,70
53,60
70,59
78,68
72,76
74,64
72,68
77,72
61,61
79,60
72,78
72,75
51,56
68,81
59,72
82,76
46,66
62,66
68,67
73,76
67,69
79,85
43,78
53,78
79,78
77,71
86,60
74,66
77,65
77,65
50,66
78,81
65,46
76,80
86,76
69,86
79,85
83,91
90,83
65,74
75,56
63,55
51,59
71,59
78,85
75,77
85,96
84,80
85,57
76,79
81,77
71,86
58,36
74,78
67,67
74,62
90,87
55,76
59,67
68,90
65,80
68,57
83,86
80,81
73,69
62,75
68,82
73,53
72,83
64,73
80,78
83,78
75,87
80,82
68,63
79,71
81,88
72,75
72,41
80,85
78,78
74,90
75,70
50,69
80,87
67,91
59,69
70,81
65,81
74,64
80,64
73,66
79,91
53,82
75,84
83,78
73,83
85,76
77,72
58,76
72,96
74,78
91,88
71,84
72,91
60,67
84,73
61,63
84,80
90,95
65,65
73,73
55,56
84,71
72,83
73,64
80,94
60,64
62,81
86,87
80,80
86,84
80,78
74,80
66,69
75,67
75,64
50,62
69,73
50,52
77,85
71,51
82,80
72,81
71,67
86,86
72,84
71,81
80,60
93,82
69,80
77,79
75,67
60,64
79,77
54,67
68,83
76,75
81,70
75,70
50,60
59,73
61,65
80,72
78,67
65,81
67,70
88,65
68,58
85,83
72,80
75,87
87,73
77,56
75,71
61,71
85,85
54,58
75,68
78,51
73,50
60,63
58,50
77,63
74,80
79,80
70,67
77,97
80,88
64,69
78,67
89,65
56,62
74,85
57,78
61,64
56,50
50,68
63,70
68,67
90,87
69,77
67,76
71,54
81,78
66,44
66,68
81,89
67,74
65,75
70,79
71,56
84,84
86,92
71,58
73,80
64,80
50,67
73,55
73,75
75,77
84,90
64,67
84,62
58,56
77,80
75,63
79,58
76,74
78,62
85,83
78,67
64,87
72,70
90,90
60,73
66,89
71,60
63,79
54,69
65,61
73,70
69,85
75,65
70,81
73,67
71,81
68,79
90,95
66,76
53,95
89,83
82,81
63,70
93,87
80,69
83,84
72,89
88,80
80,78
67,65
68,90
69,80
74,76
73,80
74,70
62,68
75,88
80,87
72,58
73,74
67,55
76,62
62,68
74,72
66,65
76,64
72,66
66,85
87,85
74,93
67,76
68,65
70,72
69,42
74,81
67,62
82,71
68,80
75,66
61,67
83,95
82,66
66,72
75,87
85,92
70,81
63,62
85,85
76,80
79,87
64,81
71,78
80,87
86,82
60,88
85,85
58,38
67,67
71,76
73,70
82,89
73,83
66,80
61,46
73,83
87,79
71,67
70,72
80,72
62,65
69,59
83,87
78,80
69,86
55,74
80,82
84,77
81,90
77,76
61,65
88,86
81,80
58,67
69,78
56,65
88,97
79,79
73,67
80,85
68,64
77,76
71,72
76,50
69,66
65,77
85,89
67,70
65,63
76,77
72,76
68,86
73,54
67,63
73,89
73,70
71,84
79,66
67,65
79,58
70,90
77,79
85,85
84,73
70,81
82,90
75,78
74,61
78,62
