,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,917788,350,17,73,462,31,60
1,527032,350,23,72,462,31,82
2,658523,350,17,87,462,21,76
3,136858,350,21,96,462,31,88
4,139773,350,27,83,462,41,97
5,271379,350,27,80,462,41,72
6,272678,350,37,50,462,41,51
7,273575,350,23,68,462,41,85
8,404743,350,23,75,462,31,75
10,143030,350,47,50,462,51,44
11,536307,350,17,81,462,31,91
12,932347,350,21,65,462,31,76
13,670826,350,27,57,462,41,40
14,804026,350,23,81,462,31,58
17,680809,350,17,88,462,31,100
18,157271,350,17,77,462,21,68
19,818566,350,21,74,462,31,72
20,819070,350,21,61,462,31,62
22,950922,350,23,90,462,31,89
23,297917,350,27,91,462,41,95
24,168125,350,23,88,462,31,91
25,563252,350,17,63,462,41,97
26,170690,350,13,89,462,21,100
27,697577,350,23,93,462,31,95
28,961399,350,23,82,462,31,85
29,830585,350,23,96,462,31,100
30,568698,350,25,74,462,39,84
31,437785,350,27,83,462,41,82
32,175686,350,23,93,462,31,90
34,702855,350,27,87,462,41,71
35,180024,350,27,82,462,41,92
36,708867,350,17,88,462,31,100
37,709876,350,17,89,462,31,98
38,972337,350,33,95,462,41,76
39,584199,350,21,88,462,41,71
40,453280,350,27,64,462,41,67
41,192242,350,21,88,462,41,87
42,847754,350,27,83,462,41,88
43,586709,350,27,90,462,41,99
44,849641,350,27,82,462,41,94
45,456981,350,23,85,462,31,65
46,195878,350,23,83,462,41,100
47,200422,350,21,76,462,31,94
48,331919,350,17,66,462,31,93
49,463651,350,23,76,462,41,94
50,204078,350,21,90,462,31,96
51,598481,350,33,63,462,41,63
52,599298,350,27,90,462,41,78
53,206528,350,23,76,462,31,100
54,206906,350,17,86,462,21,94
55,994897,350,27,74,462,41,77
56,210747,350,27,74,462,41,77
57,476255,350,21,73,462,41,86
58,479916,350,23,81,462,31,64
60,351962,350,23,90,462,31,77
61,483364,350,21,66,462,31,79
62,222861,350,23,66,462,31,75
63,223825,350,21,66,462,31,100
64,487313,350,23,63,462,31,70
65,620507,350,27,70,462,41,55
66,883885,350,21,74,462,31,33
67,493125,350,23,78,462,31,72
68,755336,350,27,87,462,41,71
69,756232,350,17,92,462,21,78
70,626370,350,21,73,462,31,96
71,104016,350,13,97,462,31,100
72,104655,350,23,88,462,41,87
73,632879,350,23,68,462,51,78
74,636160,350,27,77,462,41,89
75,505852,350,23,70,462,41,58
76,375409,350,21,79,462,31,100
77,376844,350,23,91,462,41,100
78,115779,350,27,77,462,51,65
81,516257,350,3,91,462,11,94
83,911172,350,23,89,462,31,67
84,256091,350,23,56,462,31,66
85,912408,350,23,77,462,31,68
87,651702,350,27,91,462,31,82
88,391425,350,27,79,462,41,71
