CS370,CS445
63,63
75,80
87,73
93,81
71,61
71,77
39,62
91,100
91,78
89,84
62,76
76,70
86,77
73,74
78,81
45,64
64,64
77,78
58,77
94,85
25,80
81,71
66,75
82,81
67,78
72,46
72,80
41,61
82,80
73,77
84,79
87,68
78,86
61,77
63,44
72,74
61,77
83,79
74,84
69,77
57,64
57,84
65,88
85,80
72,82
84,78
75,76
31,75
81,85
90,77
72,78
70,72
71,61
50,67
79,79
65,56
93,91
77,79
85,81
86,83
86,70
80,77
68,68
70,65
44,66
71,66
66,90
82,67
70,56
66,80
71,69
59,73
92,84
58,69
40,69
65,82
69,60
65,82
77,79
82,87
94,84
62,64
53,65
80,73
73,79
68,46
97,80
43,83
42,83
53,79
64,62
90,84
61,77
79,80
75,65
83,76
85,87
50,74
62,66
85,80
64,83
97,90
70,84
72,66
83,67
80,78
60,83
47,63
60,83
75,73
64,83
79,78
75,72
89,92
70,79
33,57
82,87
71,78
86,81
80,64
72,66
68,82
69,53
85,84
68,82
67,77
72,75
78,75
50,74
79,69
65,73
81,80
83,80
60,66
84,84
75,81
57,85
90,82
35,87
66,77
71,70
85,79
84,83
41,58
70,39
64,72
61,78
78,84
60,69
87,89
87,89
60,71
90,81
47,50
67,50
83,68
62,42
62,70
66,72
64,63
66,82
71,89
72,75
90,87
71,79
72,81
68,66
84,77
65,75
76,76
62,74
74,94
80,81
61,63
85,91
86,65
67,69
84,73
85,91
90,87
76,87
75,74
74,76
54,79
80,71
73,71
78,81
71,78
74,68
80,79
76,83
71,89
88,78
73,81
78,67
73,68
81,80
45,89
60,89
77,76
40,76
69,88
91,95
80,77
65,84
73,83
59,79
79,76
60,80
51,64
83,80
88,88
58,76
96,82
77,90
86,79
80,82
62,75
64,67
67,61
89,84
84,82
75,89
70,71
78,91
82,83
79,76
82,82
81,92
58,78
73,76
87,66
84,76
31,80
70,80
60,63
76,81
60,79
78,67
65,85
66,72
61,76
82,46
65,72
82,67
74,82
66,65
57,46
82,65
79,76
90,86
59,80
90,80
70,78
75,83
83,71
64,70
68,67
82,83
78,74
79,73
85,84
82,88
77,68
65,73
72,72
68,80
77,81
63,80
63,72
52,79
71,69
78,84
84,96
45,81
74,90
54,80
72,61
81,98
78,77
77,76
75,82
70,81
80,75
78,58
73,68
82,71
82,76
88,88
63,88
71,71
70,81
65,70
83,89
75,70
55,74
64,65
80,66
70,93
68,67
72,68
67,71
74,84
91,87
86,77
78,76
61,70
63,74
68,73
51,45
80,77
29,77
72,77
62,84
71,81
73,75
63,74
82,87
50,70
45,76
71,67
90,88
59,84
66,72
67,85
73,72
57,88
