CS240,CS365
51,79
73,68
92,91
93,96
95,85
79,76
79,87
97,88
76,61
91,89
85,83
76,70
56,45
96,96
85,63
97,91
60,63
65,92
79,80
95,83
70,60
73,87
82,79
66,94
93,100
77,89
90,87
100,96
78,78
90,90
85,55
92,64
51,74
74,60
62,44
79,77
99,99
92,87
74,65
89,96
88,85
81,84
85,81
91,94
86,86
89,93
83,80
80,91
82,75
85,82
98,90
87,98
77,72
87,93
100,100
80,82
86,92
88,85
85,77
99,91
86,73
93,100
60,68
81,75
77,79
95,74
66,83
84,87
83,63
88,93
77,90
94,100
87,100
76,98
83,94
73,53
82,70
96,84
74,78
73,93
85,84
79,81
79,85
75,72
92,93
64,85
99,100
93,84
91,86
86,82
88,62
38,40
53,40
90,99
72,70
70,89
56,42
56,50
53,70
84,95
84,97
99,87
79,79
50,70
98,97
85,78
91,77
97,95
76,57
77,71
88,87
93,79
100,100
92,100
86,94
79,90
94,91
90,79
75,61
79,59
95,97
100,100
74,85
72,75
72,57
75,65
93,87
89,77
