,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,526365,131,1,73,338,39,64
1,659166,131,1,88,338,21,73
2,665907,131,1,78,338,37,80
3,690378,131,1,39,338,43,67
4,166635,131,1,66,338,35,59
5,955189,131,1,82,338,31,66
6,300271,131,1,85,338,37,81
7,973230,131,1,57,338,37,54
8,845973,131,1,34,338,53,64
9,985575,131,1,62,338,41,64
10,598805,131,1,87,338,41,80
11,992704,131,1,32,338,63,56
12,992704,131,3,84,338,63,56
13,874130,131,1,84,338,23,76
14,755107,131,1,41,338,27,62
15,755107,131,3,76,338,27,62
16,366870,131,1,32,338,23,60
17,366870,131,3,79,338,23,60
18,761126,131,1,68,338,31,61
19,766745,131,1,90,338,41,75
20,246253,131,1,71,338,43,68
21,379428,131,1,57,338,33,74
22,904805,131,1,91,338,35,34
23,257749,131,1,76,338,29,62
24,784726,131,1,39,338,33,71
25,784726,131,7,68,338,33,71
