,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
4,920693,488,7,89,447,23,87
6,528945,488,21,79,447,23,76
8,928379,488,41,74,447,43,77
9,143033,488,15,64,447,21,80
10,667437,488,27,92,447,33,82
14,284991,488,41,65,447,43,80
24,165373,488,31,68,447,33,74
26,692679,488,17,73,447,23,68
28,830000,488,27,74,447,33,73
29,177303,488,27,83,447,33,91
35,185693,488,37,67,447,43,73
38,319082,488,37,58,447,43,73
40,191192,488,27,83,447,33,73
44,586994,488,23,81,447,33,75
45,456290,488,21,45,447,33,84
47,986152,488,41,65,447,43,81
48,986213,488,17,66,447,23,90
64,112075,488,41,67,447,43,80
68,121072,488,17,93,447,23,90
71,518208,488,31,89,447,43,70
72,912948,488,7,75,447,13,82
75,261605,488,27,90,447,43,76
