grade1,grade2
71,60
81,92
71,71
84,79
67,81
74,76
84,52
81,90
46,69
72,67
62,68
91,97
41,64
58,64
56,76
80,66
89,73
44,60
66,68
83,90
64,57
53,54
53,68
91,88
90,92
76,80
55,84
95,95
29,46
81,82
70,94
62,76
75,72
69,76
67,73
84,85
78,61
55,71
56,62
60,40
60,40
60,50
58,78
76,76
63,67
89,87
35,27
35,40
68,40
66,65
68,20
68,56
75,81
62,55
46,84
57,76
82,89
79,81
86,91
27,51
64,51
65,52
62,51
75,60
66,74
75,73
42,59
78,68
85,82
56,62
67,70
72,87
76,77
52,64
67,78
64,67
70,50
58,76
88,76
63,50
85,72
74,86
80,90
66,63
65,80
71,66
77,58
74,80
83,82
81,93
85,100
56,78
53,83
83,92
88,86
56,78
77,72
50,62
81,81
79,78
88,83
60,50
81,83
68,60
96,73
86,77
79,79
52,68
85,100
61,65
43,59
63,59
67,50
73,83
82,84
70,75
80,94
70,82
78,85
79,86
61,74
83,81
51,58
51,66
75,77
76,72
61,58
69,84
73,81
73,69
43,73
62,61
75,80
71,74
88,80
63,64
83,83
82,83
72,58
78,80
42,51
59,61
70,73
67,77
56,54
90,95
59,64
68,84
72,70
70,68
85,93
79,89
57,74
52,76
63,73
80,89
56,68
75,50
73,88
75,82
50,69
77,71
82,79
91,90
46,70
44,90
42,89
74,74
84,65
69,63
75,81
73,61
90,92
73,66
74,69
68,82
58,63
76,80
72,88
38,60
61,67
57,61
58,72
73,83
70,73
45,82
68,64
60,66
58,65
51,60
56,51
56,77
54,55
61,69
72,73
99,94
80,69
79,83
60,89
68,71
81,78
94,93
67,71
46,58
68,58
61,78
71,73
69,29
69,60
67,62
72,57
71,82
78,71
82,79
72,72
88,92
68,83
71,70
62,80
82,86
78,68
64,83
66,56
83,70
74,41
74,62
46,57
52,61
86,72
83,50
57,76
76,73
62,40
76,67
83,86
74,75
89,100
92,100
71,75
70,47
70,64
62,82
52,44
52,68
68,58
42,45
62,93
51,74
61,62
78,66
71,81
66,61
57,77
56,59
93,100
56,61
45,45
45,66
55,45
55,66
87,96
82,65
92,100
87,89
46,67
59,86
50,56
69,93
60,71
56,88
78,64
66,73
61,65
68,60
43,64
60,64
55,70
94,76
67,52
61,74
60,57
63,75
74,78
72,69
46,63
85,84
96,83
63,57
81,86
45,64
52,64
77,76
56,62
95,92
65,60
83,77
81,56
73,74
87,84
82,92
86,82
79,92
84,96
74,100
75,74
66,72
83,68
83,90
58,61
67,94
82,88
57,85
91,95
42,57
72,57
74,76
80,84
46,45
46,80
58,80
59,64
81,93
84,65
97,83
77,91
58,73
80,58
76,89
69,67
68,80
78,79
70,58
77,71
77,79
91,82
74,57
82,75
94,99
60,78
87,85
100,100
65,99
58,38
58,60
58,84
94,85
54,66
68,86
40,38
87,93
40,60
84,60
93,88
78,82
79,74
88,75
92,86
79,80
80,68
89,71
76,71
73,76
85,87
57,66
66,74
81,69
61,66
73,78
70,67
82,87
62,63
69,51
69,79
70,90
88,81
74,87
70,52
50,72
76,74
68,74
96,83
58,79
74,81
76,71
91,98
78,57
66,85
64,80
88,93
72,66
90,90
83,94
82,92
85,92
77,59
43,74
65,55
89,100
96,88
66,87
43,67
72,73
62,51
80,93
91,92
80,61
46,60
59,60
64,76
75,85
56,63
52,73
42,71
84,93
96,85
64,81
40,53
58,53
53,50
78,80
77,88
75,65
55,75
50,64
73,87
71,87
67,68
82,74
81,64
62,63
92,51
70,70
58,90
83,78
69,76
59,69
72,71
75,39
100,83
78,73
70,79
85,81
78,74
56,64
72,69
67,86
80,69
42,65
95,91
74,32
64,73
