,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,131252,486,27,66,447,33,70
3,528945,486,17,81,447,23,76
4,795093,486,37,69,447,43,73
8,143517,486,29,70,447,31,66
10,542945,486,41,63,447,43,69
12,544465,486,29,66,447,31,89
14,285212,486,11,81,447,13,82
15,809553,486,41,70,447,43,83
16,154198,486,25,69,447,31,71
17,285602,486,21,73,447,23,78
18,811535,486,41,66,447,43,76
20,159949,486,41,83,447,43,70
22,686674,486,41,88,447,43,78
23,294200,486,41,82,447,43,78
24,688019,486,11,78,447,13,77
26,689050,486,37,86,447,43,97
29,166012,486,21,69,447,23,70
30,692679,486,21,79,447,23,68
31,168888,486,41,86,447,43,83
32,963543,486,21,67,447,23,74
34,440275,486,21,71,447,23,76
36,312164,486,31,67,447,43,80
39,313726,486,27,74,447,33,74
40,576188,486,31,73,447,33,70
42,185693,486,31,80,447,43,73
43,185885,486,29,59,447,31,58
44,579481,486,31,87,447,33,71
46,580539,486,37,86,447,43,91
47,319082,486,37,54,447,43,73
48,581981,486,21,74,447,23,80
49,976944,486,27,69,447,33,75
50,846387,486,23,93,447,33,85
51,191192,486,27,68,447,33,73
56,586994,486,31,72,447,33,75
58,456290,486,27,73,447,33,84
59,719166,486,41,70,447,43,78
61,328033,486,63,72,447,73,65
62,197881,486,31,81,447,43,70
63,330648,486,27,77,447,33,67
64,986213,486,17,83,447,23,90
65,331770,486,41,79,447,43,70
67,201667,486,21,74,447,23,76
69,595358,486,27,75,447,33,78
71,989682,486,15,76,447,21,77
72,990337,486,41,85,447,43,86
73,208770,486,31,71,447,33,86
78,215186,486,41,63,447,43,71
80,224540,486,27,69,447,33,72
82,228527,486,15,82,447,21,74
83,622603,486,21,68,447,23,65
87,627073,486,37,85,447,43,81
88,103216,486,31,74,447,43,88
89,497362,486,41,77,447,43,75
91,628781,486,37,85,447,43,82
92,498827,486,37,66,447,43,67
93,498863,486,37,32,447,43,70
94,105980,486,15,86,447,21,81
95,501137,486,15,89,447,21,78
97,633871,486,41,90,447,43,76
98,372449,486,37,90,447,43,80
99,765686,486,19,79,447,21,65
100,110707,486,13,75,447,23,68
103,248227,486,41,81,447,43,70
104,250100,486,41,87,447,43,80
105,121072,486,13,88,447,23,90
106,645642,486,27,75,447,33,79
107,911260,486,31,66,447,33,74
108,518208,486,31,72,447,43,70
109,911863,486,25,59,447,27,62
110,128433,486,21,88,447,23,81
111,391956,486,21,79,447,23,83
113,261605,486,27,88,447,43,76
114,130852,486,33,62,447,43,69
