grade1,grade2
85,88
84,86
82,87
63,55
75,71
75,78
82,81
96,92
96,89
51,77
64,61
71,72
39,67
91,92
68,71
82,86
70,67
76,75
66,74
83,85
73,73
78,78
80,80
65,79
77,73
77,77
58,75
71,77
94,85
74,72
74,69
69,61
66,45
66,72
74,76
82,72
74,79
76,71
41,62
82,57
68,61
84,82
65,64
74,77
50,62
58,66
78,22
78,76
88,76
45,75
78,80
72,59
69,54
62,66
74,82
86,90
75,86
73,60
66,60
65,78
60,54
66,70
90,80
70,76
28,59
91,91
57,78
74,90
65,79
78,81
89,89
85,72
70,80
72,78
84,83
66,51
97,82
66,64
70,81
90,78
71,82
90,81
72,68
63,83
87,81
41,70
66,70
70,77
77,74
93,88
81,86
77,77
79,74
85,83
89,85
86,68
75,86
68,77
94,93
84,67
70,78
67,81
44,67
66,75
80,87
78,50
57,50
82,79
70,58
66,59
77,66
90,85
92,70
74,71
87,75
76,77
85,70
84,83
70,64
65,64
60,76
82,75
94,88
78,76
80,73
73,68
73,67
95,64
43,83
42,83
64,66
90,67
82,84
61,73
91,78
75,63
71,69
45,50
76,78
85,74
62,58
64,71
56,43
84,87
88,79
75,72
70,86
72,72
83,78
80,82
75,70
86,85
73,88
72,80
67,65
85,81
69,82
75,72
80,78
79,74
75,74
87,85
71,84
89,95
66,70
85,80
88,84
68,83
70,72
90,88
70,75
71,71
86,81
78,67
93,68
80,62
74,75
75,70
69,52
68,72
85,80
67,69
62,52
75,81
72,67
78,81
75,88
73,85
75,65
82,73
87,82
50,69
81,77
83,60
86,83
84,71
85,94
57,79
73,76
35,67
90,80
66,68
79,72
71,69
77,85
84,68
70,40
70,79
80,70
61,75
64,61
91,98
85,65
78,75
63,67
60,64
87,84
90,75
84,91
74,81
90,80
71,63
69,76
77,59
86,94
83,80
95,94
70,81
74,44
74,72
72,68
81,65
68,77
75,85
71,87
72,70
62,50
73,73
55,78
72,79
88,91
65,70
68,77
57,65
65,74
72,66
76,80
90,82
66,78
90,80
62,62
65,77
74,71
92,82
75,64
70,70
67,63
80,56
85,80
72,59
74,80
87,87
82,81
82,64
71,86
90,77
80,80
70,73
73,60
60,68
75,72
74,68
81,77
70,76
87,79
80,70
73,63
86,83
94,91
73,56
64,68
71,62
71,73
84,77
80,74
80,87
65,69
94,65
71,76
44,73
76,77
58,72
74,64
54,69
69,70
63,69
78,76
80,77
78,70
77,77
86,75
40,58
89,80
69,81
71,62
91,91
80,68
73,69
70,69
72,75
90,86
58,60
79,76
84,85
80,84
77,68
84,87
68,77
73,82
51,66
83,83
80,82
83,67
39,75
69,75
96,82
77,77
86,96
89,81
84,67
75,78
79,70
68,65
70,58
86,94
65,81
87,91
67,68
76,68
74,67
82,83
79,68
82,78
86,74
64,70
82,74
77,70
81,74
77,68
81,98
76,74
73,60
77,82
63,66
87,76
73,69
77,79
62,62
60,60
76,73
81,76
60,68
78,80
65,54
61,78
61,58
72,79
74,68
88,79
78,78
78,81
78,78
74,65
66,80
94,86
79,77
90,83
59,74
72,75
90,75
70,73
83,87
83,78
68,63
71,62
74,84
50,67
64,63
78,76
68,69
71,72
82,79
78,76
65,44
66,68
55,71
72,84
77,57
79,78
85,85
82,82
82,85
82,84
92,94
77,82
68,80
63,72
69,57
76,90
52,66
71,68
69,63
65,76
70,61
84,70
93,88
85,81
84,89
71,68
64,64
73,51
92,83
87,90
69,69
70,65
88,81
87,72
81,84
78,74
77,63
91,72
75,75
80,77
76,73
70,66
66,58
75,65
75,82
80,65
71,53
83,71
96,86
88,77
63,77
71,60
70,80
83,91
45,67
70,64
80,61
80,59
70,80
91,84
86,71
72,64
68,71
74,72
91,83
44,76
68,76
76,66
86,80
79,81
92,82
63,62
75,81
74,79
80,83
70,78
29,68
72,68
72,73
76,61
62,77
73,70
96,83
71,84
63,74
82,84
72,80
45,68
66,72
88,76
80,83
61,69
56,74
90,78
68,84
66,60
61,64
46,64
