,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
15,287964,490,31,62,454,33,69
18,947403,490,31,81,454,33,82
24,172214,490,41,80,454,43,75
25,173740,490,61,51,454,69,50
26,568680,490,53,80,454,57,66
27,438427,490,41,66,454,43,69
35,315523,490,33,75,454,37,59
38,581104,490,41,91,454,63,83
44,324856,490,43,71,454,47,74
54,730056,490,33,74,454,41,79
58,471336,490,43,63,454,47,62
60,604538,490,53,80,454,57,80
61,343076,490,41,58,454,43,66
67,741084,490,41,72,454,47,67
69,877331,490,33,73,454,41,79
74,355687,490,43,69,454,47,70
78,619897,490,43,85,454,51,69
83,624191,490,41,85,454,45,100
84,362557,490,31,71,454,33,60
86,102763,490,43,79,454,47,71
88,366669,490,17,75,454,25,51
92,375276,490,43,69,454,51,70
93,244825,490,41,79,454,43,82
94,246072,490,41,75,454,51,84
96,115745,490,33,70,454,41,65
100,909623,490,41,75,454,43,87
102,516981,490,33,76,454,37,70
107,258184,490,41,76,454,43,70
109,785014,490,41,83,454,43,90
111,393040,490,41,70,454,43,53
