,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
1,788547,486,37,67,458,41,52
7,152740,486,35,54,458,39,50
9,154198,486,25,69,458,29,27
10,417409,486,47,58,458,51,55
11,418643,486,37,78,458,41,83
13,552151,486,47,64,458,51,68
20,173087,486,35,58,458,37,56
25,445348,486,37,94,458,51,91
27,711314,486,31,88,458,43,91
28,581795,486,33,63,458,41,79
30,328033,486,63,72,458,71,70
34,204747,486,31,50,458,41,63
38,603786,486,37,65,458,43,46
43,614383,486,37,83,458,43,89
45,361513,486,17,89,458,23,88
47,362948,486,41,84,458,43,84
48,494623,486,33,78,458,41,82
52,499434,486,33,92,458,41,80
53,894931,486,23,64,458,31,72
55,242213,486,33,88,458,41,81
57,770022,486,31,86,458,43,98
59,117876,486,37,82,458,51,80
64,781922,486,33,67,458,41,76
