CS341,CS446
67,79
50,69
60,86
99,85
64,86
56,76
50,72
97,86
100,90
68,87
59,85
62,84
92,99
75,85
65,75
80,94
76,85
73,80
61,86
83,86
60,85
67,72
75,77
66,69
69,84
50,66
41,81
70,81
60,86
60,77
86,82
42,74
22,74
86,79
78,81
80,89
64,86
79,92
80,82
88,82
78,92
74,83
73,75
64,71
70,95
52,71
86,85
64,81
69,86
91,78
81,69
66,88
72,93
91,98
63,72
79,75
76,82
61,73
64,81
81,97
70,86
81,78
62,89
65,64
66,76
50,74
37,77
68,85
78,80
69,88
65,90
59,63
52,82
61,78
74,74
81,68
70,81
42,80
53,80
67,75
69,88
42,58
64,58
64,70
83,80
66,77
50,72
80,77
79,84
89,78
84,76
66,81
63,69
100,84
50,85
58,82
60,66
87,51
67,70
100,80
70,68
68,90
67,82
59,68
46,67
69,67
90,89
58,88
65,79
62,77
80,87
68,73
79,90
72,81
85,81
92,81
72,76
94,90
64,74
73,80
84,88
70,85
77,81
66,81
74,81
70,85
63,75
67,72
82,82
75,67
63,76
82,84
71,79
62,79
95,83
84,83
50,82
87,72
59,74
64,77
66,83
46,77
54,69
58,75
59,82
63,87
74,84
68,87
79,92
98,84
63,78
57,82
73,74
76,87
74,93
57,80
83,80
70,81
66,88
61,79
69,69
63,69
64,77
83,72
65,82
68,87
59,82
68,78
81,78
57,58
51,80
95,83
85,89
56,85
70,83
50,74
68,89
64,71
69,77
73,72
59,78
92,76
86,79
86,84
77,74
55,88
59,77
70,78
57,76
64,76
52,80
74,71
74,80
74,93
68,84
66,76
80,87
87,68
65,92
74,76
88,80
67,66
70,88
98,88
62,76
80,81
58,87
64,72
70,82
63,87
98,80
71,80
55,60
67,91
76,73
51,81
73,81
78,77
80,84
68,76
67,82
79,78
75,67
80,76
67,85
74,77
84,84
64,62
69,76
70,71
45,72
71,72
69,79
65,74
57,72
53,80
61,73
61,77
76,94
81,79
65,78
71,80
63,83
81,86
87,87
73,72
70,84
84,89
37,67
65,88
59,77
55,92
43,83
67,83
60,71
74,71
77,79
72,88
75,84
70,80
54,79
62,76
57,80
65,92
62,79
70,81
70,76
92,83
74,89
59,82
68,80
66,92
55,86
75,84
69,85
77,75
73,75
53,74
83,88
57,85
84,85
67,70
55,83
71,84
88,83
84,79
72,80
50,69
81,76
57,70
50,68
63,85
60,79
52,64
59,78
52,80
88,90
56,68
52,68
68,85
68,77
87,82
71,62
