,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,263986,456,33,96,466,37,93
3,399262,456,31,55,466,41,73
5,270650,456,33,88,466,41,79
6,796293,456,31,77,466,37,81
8,403404,456,21,89,466,25,61
12,275913,456,13,62,466,17,52
15,932001,456,41,92,466,47,91
17,146062,456,37,45,466,41,69
28,283452,456,33,85,466,41,63
30,940068,456,33,75,466,41,59
32,155674,456,21,73,466,25,70
36,552151,456,47,61,466,51,59
37,685033,456,17,72,466,21,72
38,685309,456,31,58,466,37,73
39,554702,456,43,94,466,47,85
42,164440,456,33,84,466,37,73
43,427251,456,33,84,466,41,66
48,823350,456,31,75,466,37,78
50,562572,456,31,65,466,37,77
52,958344,456,31,91,466,41,81
58,574772,456,23,62,466,31,71
60,577594,456,41,29,466,47,50
61,184522,456,37,89,466,41,77
63,447082,456,13,68,466,17,50
69,711314,456,31,94,466,37,92
78,979691,456,23,79,466,27,91
82,850684,456,13,85,466,21,94
89,725474,456,33,86,466,41,61
92,204674,456,37,55,466,41,62
95,337955,456,21,80,466,27,78
104,224802,456,31,65,466,37,60
106,882074,456,33,67,466,37,74
110,230295,456,21,75,466,31,89
116,104016,456,21,100,466,31,100
117,890499,456,23,60,466,27,40
118,498863,456,31,33,466,47,50
119,498863,456,43,56,466,47,50
121,500063,456,33,69,466,37,61
125,635702,456,53,60,466,67,87
127,244302,456,23,68,466,27,53
134,512223,456,27,82,466,31,67
136,776404,456,33,57,466,41,62
142,650380,456,23,58,466,31,63
143,914167,456,31,96,466,37,91
144,521917,456,21,71,466,25,63
