CS130,CS480
58,66
82,90
81,66
58,84
93,79
89,81
61,79
74,81
83,81
91,78
72,78
82,83
70,80
83,75
93,85
80,76
40,82
87,79
66,75
79,78
71,77
86,84
76,83
71,82
84,67
80,79
79,73
55,79
59,76
63,83
70,68
94,84
91,73
87,80
82,83
83,78
67,66
90,66
88,67
73,73
96,82
96,83
74,85
72,75
66,81
80,87
89,76
57,72
83,75
86,80
65,79
73,83
75,66
46,72
91,70
86,83
79,79
86,81
64,78
73,85
94,84
78,77
39,86
79,71
44,84
86,80
71,83
87,76
66,64
87,72
87,83
81,79
82,72
85,85
84,77
84,82
61,79
86,79
85,69
79,77
64,82
74,77
68,77
73,76
64,79
86,70
77,65
43,89
62,89
90,72
83,73
71,66
70,82
79,76
82,57
88,60
91,81
78,76
65,76
82,79
80,72
42,79
89,80
69,75
94,74
84,80
64,81
83,78
91,78
82,78
87,81
71,73
77,81
94,89
78,80
