,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
1,266465,454,47,58,490,53,62
2,793596,454,37,81,490,43,82
4,400629,454,31,79,490,33,75
5,794400,454,41,78,490,43,77
6,797723,454,37,84,490,43,84
7,800073,454,41,78,490,43,78
8,144975,454,37,82,490,43,76
9,802568,454,27,82,490,31,65
10,148179,454,33,68,490,41,85
12,411554,454,37,86,490,43,89
13,544112,454,37,80,490,43,86
16,288426,454,23,62,490,33,69
17,160205,454,37,60,490,43,73
19,165391,454,37,84,490,43,76
21,693007,454,31,71,490,33,70
22,433493,454,41,87,490,43,78
23,434052,454,37,61,490,43,82
28,700582,454,31,81,490,43,87
29,177333,454,39,77,490,41,67
30,838142,454,37,83,490,43,81
31,576712,454,41,86,490,43,78
32,577330,454,37,66,490,43,85
36,187751,454,31,59,490,43,72
37,580993,454,37,74,490,43,81
39,189719,454,37,58,490,43,64
40,584571,454,41,73,490,51,75
43,586994,454,21,75,490,33,76
47,851141,454,41,53,490,43,75
48,721569,454,37,81,490,43,78
51,463388,454,37,79,490,43,79
52,858006,454,37,84,490,43,82
53,464961,454,37,73,490,53,76
55,338114,454,43,70,490,53,77
56,469242,454,37,76,490,43,87
57,470315,454,41,56,490,43,64
59,997298,454,31,86,490,33,82
62,343377,454,27,59,490,43,68
63,868666,454,41,60,490,43,78
66,215168,454,41,88,490,51,81
68,613418,454,37,67,490,43,79
70,615617,454,37,70,490,43,80
72,224408,454,41,72,490,43,74
75,486792,454,37,85,490,43,85
76,488245,454,27,50,490,51,82
79,227964,454,31,54,490,43,73
80,360153,454,37,85,490,43,79
81,361253,454,31,76,490,43,53
85,494021,454,41,97,490,43,86
87,628510,454,41,66,490,43,71
89,367687,454,37,83,490,43,73
91,504735,454,37,63,490,43,82
95,115390,454,37,86,490,43,83
97,641362,454,41,55,490,43,71
98,248422,454,33,54,490,41,76
101,778643,454,37,54,490,41,53
103,779462,454,37,89,490,43,81
104,256970,454,37,91,490,41,76
105,781716,454,35,34,490,39,71
106,519633,454,33,78,490,43,82
108,127843,454,37,83,490,43,82
110,654883,454,37,92,490,41,76
