CS342,CS452
82,79
92,86
90,86
94,81
66,80
76,88
68,83
86,90
70,76
74,86
79,91
70,76
35,73
63,93
77,80
63,82
66,88
68,82
80,82
81,92
77,85
86,83
72,73
69,93
79,88
82,76
86,77
84,86
70,81
79,73
77,87
72,80
87,80
75,86
85,80
62,58
87,90
66,73
61,80
77,86
65,70
80,82
67,73
80,85
50,82
82,90
86,82
80,79
88,77
73,80
87,91
80,94
75,74
75,71
79,81
52,77
71,96
62,29
85,70
79,92
76,71
81,85
78,87
83,79
73,62
71,84
77,86
86,81
73,85
93,90
80,85
74,84
74,77
84,90
79,80
76,70
71,86
76,66
82,83
74,70
79,82
53,69
87,80
56,82
87,77
78,68
62,85
90,81
90,86
66,71
57,57
92,87
68,77
75,61
87,88
86,95
57,53
84,76
77,55
44,74
76,74
83,74
71,83
70,66
80,83
86,87
73,81
65,93
