grade1,grade2
73,69
93,91
84,56
84,80
90,85
69,75
70,61
94,71
90,72
81,50
79,88
72,70
68,61
95,85
78,64
83,60
94,85
79,55
35,65
80,69
93,66
78,64
81,93
61,55
86,63
74,60
90,74
78,63
92,65
91,80
69,53
79,73
92,85
85,57
65,68
59,59
72,68
59,72
95,75
96,93
84,62
70,62
44,59
58,44
94,66
81,73
81,50
64,57
84,75
62,75
81,62
90,69
87,46
90,59
96,85
78,64
64,47
64,57
85,68
87,50
89,54
94,70
73,77
80,68
82,68
72,71
87,86
66,73
90,88
73,60
84,11
80,69
88,72
83,54
94,50
89,67
96,72
89,63
69,67
93,54
75,41
90,87
95,90
78,64
84,33
80,68
91,88
84,61
90,69
79,66
88,64
79,50
95,85
74,63
89,69
96,94
79,47
80,71
80,61
60,63
81,41
81,77
80,60
83,63
83,57
93,75
59,46
59,71
92,95
59,39
59,71
88,87
82,58
91,72
70,81
71,79
81,76
82,46
76,45
96,62
88,63
75,73
92,63
96,100
84,77
61,69
73,63
76,83
71,73
85,69
86,60
81,70
63,72
89,77
84,50
75,55
72,51
89,70
70,59
75,65
87,66
87,68
