,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
4,139773,488,33,67,462,41,97
8,932347,488,27,69,462,31,76
12,819070,488,27,55,462,31,62
16,178264,488,33,66,462,41,71
17,180024,488,33,77,462,41,92
18,186283,488,21,88,462,29,94
19,584199,488,31,54,462,41,71
20,586709,488,33,82,462,41,99
21,849641,488,33,76,462,41,94
24,725975,488,21,93,462,29,96
28,481224,488,27,56,462,41,11
32,360593,488,27,71,462,31,68
34,364162,488,21,72,462,29,73
35,104016,488,23,99,462,31,100
42,131062,488,27,75,462,31,52
