,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
2,263986,452,27,86,454,33,90
4,265106,452,27,86,454,33,95
6,266931,452,31,89,454,43,91
8,795093,452,31,81,454,37,74
14,801457,452,57,73,454,67,73
17,939316,452,31,86,454,43,61
19,808900,452,41,91,454,43,81
20,942758,452,13,82,454,17,31
21,942758,452,13,82,454,21,78
24,947543,452,27,93,454,41,77
25,685662,452,27,73,454,33,75
28,948783,452,31,83,454,33,52
37,692363,452,41,84,454,47,72
42,303880,452,21,80,454,27,74
43,303936,452,21,86,454,23,67
46,829762,452,21,70,454,31,55
47,567992,452,21,90,454,23,77
53,569944,452,39,87,454,49,67
57,310609,452,29,66,454,51,68
58,311290,452,21,82,454,23,87
59,311842,452,27,73,454,33,68
60,967564,452,21,82,454,27,74
61,837135,452,41,85,454,43,89
64,444764,452,7,79,454,11,77
66,446440,452,37,84,454,43,84
69,842542,452,39,54,454,41,60
71,712086,452,17,77,454,23,87
73,975230,452,41,79,454,43,80
76,976944,452,27,85,454,31,66
78,454387,452,21,74,454,23,83
80,324856,452,43,80,454,47,74
81,456290,452,27,77,454,33,63
83,853309,452,25,29,454,31,50
86,200422,452,33,50,454,41,64
87,726322,452,27,71,454,33,73
88,595358,452,27,85,454,31,78
90,333878,452,31,85,454,41,83
91,859930,452,27,79,454,33,72
92,467327,452,27,62,454,31,64
94,468600,452,19,70,454,25,59
97,994897,452,41,95,454,43,76
98,471025,452,35,71,454,39,66
99,865304,452,31,81,454,33,95
100,603357,452,9,56,454,11,75
101,603559,452,29,85,454,31,84
107,609737,452,31,81,454,47,79
109,349966,452,11,70,454,23,60
111,224233,452,21,83,454,23,85
113,224802,452,27,44,454,31,69
114,880921,452,27,70,454,33,72
115,618936,452,17,79,454,23,72
116,881730,452,31,93,454,37,84
121,887798,452,37,83,454,43,83
128,108897,452,17,81,454,23,84
131,373117,452,41,86,454,43,85
135,376323,452,31,88,454,37,83
136,376578,452,29,95,454,31,95
137,246532,452,7,55,454,13,64
139,118092,452,31,85,454,41,78
140,381111,452,31,85,454,37,75
141,119989,452,15,74,454,17,84
144,909823,452,37,93,454,43,87
146,256091,452,31,61,454,37,75
147,125226,452,21,87,454,23,82
149,256614,452,13,81,454,21,84
