,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,131188,456,43,53,486,57,50
3,525401,456,29,82,486,31,72
7,788547,456,31,94,486,37,67
15,527861,456,13,90,486,17,86
19,922902,456,25,64,486,31,57
23,530702,456,27,73,486,31,73
28,138858,456,43,85,486,47,59
29,794306,456,37,61,486,43,71
30,401612,456,41,75,486,43,78
31,270650,456,33,88,486,41,72
37,533465,456,29,79,486,35,83
38,926819,456,13,71,486,21,58
41,534333,456,33,59,486,37,62
46,928493,456,33,64,486,41,74
48,273177,456,41,65,486,43,67
49,273411,456,25,61,486,29,81
52,273977,456,33,87,486,41,71
53,143106,456,43,52,486,47,44
57,275913,456,13,62,486,21,67
63,932939,456,21,72,486,27,75
64,146601,456,31,70,486,33,62
68,671697,456,35,50,486,39,56
70,934488,456,31,71,486,43,70
72,410494,456,33,83,486,47,67
76,149559,456,27,79,486,33,78
85,805906,456,13,71,486,21,55
93,675865,456,33,76,486,41,58
95,938497,456,21,61,486,27,67
96,283569,456,27,50,486,31,18
97,152510,456,31,52,486,37,61
101,939437,456,33,77,486,43,71
103,415529,456,31,56,486,37,68
108,285269,456,43,64,486,51,52
110,940774,456,33,72,486,37,72
111,809759,456,21,74,486,23,54
115,286600,456,17,54,486,21,67
117,287048,456,37,94,486,47,82
120,418755,456,37,51,486,43,69
122,287964,456,31,56,486,43,60
123,550330,456,31,67,486,37,69
126,943989,456,33,74,486,41,71
132,685019,456,23,50,486,31,52
133,685033,456,17,72,486,21,84
134,291891,456,43,89,486,47,87
140,293215,456,13,73,486,17,67
142,555508,456,21,86,486,25,74
145,949298,456,33,58,486,43,55
146,687361,456,37,50,486,41,66
147,556331,456,21,71,486,29,73
156,950975,456,27,90,486,31,77
158,689026,456,23,81,486,27,89
160,296334,456,43,70,486,51,73
163,428007,456,31,82,486,47,85
165,297285,456,41,70,486,43,78
168,297685,456,37,64,486,43,86
176,299531,456,41,84,486,43,83
177,430643,456,27,86,486,33,78
178,168888,456,33,77,486,41,86
179,693452,456,33,68,486,41,84
188,694658,456,39,62,486,41,60
189,170690,456,21,89,486,27,94
196,172214,456,33,88,486,43,65
199,959339,456,27,50,486,31,63
200,304120,456,31,53,486,37,71
206,830321,456,13,75,486,17,55
207,175111,456,27,26,486,31,54
214,176665,456,31,58,486,43,56
215,569944,456,25,52,486,29,70
218,177445,456,27,51,486,31,64
222,440941,456,21,70,486,23,79
228,573779,456,41,59,486,45,71
232,574548,456,19,83,486,25,59
234,443708,456,23,88,486,33,73
242,315048,456,27,43,486,33,89
250,971616,456,33,65,486,37,77
254,185885,456,25,76,486,29,59
255,972460,456,37,73,486,41,75
258,186283,456,21,81,486,31,87
267,318260,456,25,64,486,31,63
270,318789,456,39,53,486,41,74
279,189073,456,31,72,486,43,68
281,844796,456,33,56,486,37,71
286,976944,456,23,74,486,27,69
288,977405,456,27,77,486,33,71
291,847409,456,41,77,486,43,55
296,192756,456,37,63,486,43,50
297,455753,456,11,83,486,15,79
299,324856,456,37,65,486,47,59
305,719166,456,27,93,486,41,70
307,981625,456,37,89,486,43,69
310,589263,456,41,75,486,43,74
312,983146,456,33,76,486,47,80
317,590285,456,33,73,486,41,64
321,329175,456,41,74,486,47,69
331,986434,456,23,72,486,27,90
334,986672,456,37,82,486,43,61
340,594248,456,23,57,486,27,79
344,594720,456,41,72,486,43,83
347,725975,456,29,86,486,31,90
351,595358,456,23,69,486,27,75
354,988805,456,43,70,486,51,75
356,858006,456,37,91,486,47,85
357,595921,456,23,45,486,27,64
366,335262,456,33,86,486,43,80
368,859699,456,45,37,486,49,69
374,204747,456,27,69,486,31,50
375,991303,456,13,64,486,17,75
378,205764,456,43,71,486,51,57
379,730151,456,33,82,486,41,64
380,336966,456,13,61,486,17,78
382,468600,456,21,66,486,25,58
383,468781,456,41,85,486,43,74
384,337955,456,21,80,486,27,75
395,864581,456,51,81,486,57,78
400,603463,456,61,59,486,67,60
405,472869,456,29,94,486,31,92
407,473457,456,37,73,486,43,67
408,604831,456,37,76,486,43,77
409,212027,456,43,78,486,51,69
413,868628,456,17,78,486,21,81
417,738415,456,31,73,486,33,83
418,214155,456,41,61,486,47,63
419,476552,456,27,63,486,37,44
421,215186,456,33,51,486,41,63
425,871139,456,27,74,486,33,82
430,479916,456,37,87,486,43,89
431,479959,456,41,61,486,43,70
435,349725,456,17,40,486,27,50
436,349725,456,21,29,486,27,50
438,481096,456,33,77,486,41,77
442,874976,456,43,55,486,51,58
449,483181,456,41,73,486,43,71
451,483239,456,23,64,486,27,66
453,876928,456,17,64,486,21,75
454,877331,456,37,65,486,41,72
457,616836,456,33,86,486,41,73
