grade1,grade2
55,70
92,86
88,87
67,79
77,81
75,61
78,76
85,76
72,77
62,65
57,74
72,72
77,80
82,82
77,66
78,61
72,82
78,75
83,80
68,77
88,98
77,89
83,85
68,65
65,66
67,82
75,78
59,70
70,78
79,76
64,81
75,66
88,82
83,84
67,73
73,74
83,77
76,77
74,88
71,72
73,68
86,74
78,80
81,72
76,70
72,92
66,68
74,82
95,92
72,76
71,73
81,72
57,74
80,91
69,84
83,75
81,70
68,76
70,73
77,82
65,75
79,74
68,80
68,76
61,71
60,80
90,84
76,76
87,79
70,86
79,81
77,72
74,84
80,76
56,80
80,80
74,67
77,90
85,96
74,76
76,77
76,72
77,77
91,86
68,73
69,84
63,65
66,76
83,83
74,71
77,85
81,84
78,67
85,84
58,66
83,78
66,66
98,94
60,86
80,71
73,74
68,65
54,72
78,79
65,56
77,69
75,77
70,67
69,72
79,81
76,85
78,77
85,78
82,75
72,57
66,68
68,74
91,90
89,92
84,80
63,51
75,80
77,83
60,69
80,82
91,90
80,87
72,71
85,91
83,84
80,81
62,65
83,75
81,82
68,84
84,81
78,83
77,67
