CS134,CS241
86,83
39,71
50,71
80,85
87,71
82,84
80,75
72,67
87,84
69,57
80,83
65,46
65,70
75,72
82,83
75,59
66,68
91,94
81,62
77,88
91,93
91,91
55,41
55,58
87,56
76,80
66,67
71,44
71,72
63,66
84,83
78,64
72,80
50,53
62,74
75,65
91,91
90,90
85,80
80,76
82,55
79,44
79,74
46,29
46,67
81,29
81,67
78,81
94,70
70,62
81,75
83,80
77,69
74,67
80,85
73,67
72,84
86,78
65,55
74,56
74,78
85,89
86,78
66,60
72,58
85,87
78,76
88,63
93,89
70,35
70,68
81,66
72,68
86,92
85,81
67,70
75,80
69,75
78,62
58,46
58,73
82,58
76,74
66,57
95,97
78,67
76,86
68,61
82,82
78,79
73,53
90,86
56,27
56,64
81,59
85,76
58,66
76,65
77,62
73,88
81,75
71,66
75,75
70,68
80,68
56,42
56,55
76,78
90,89
74,78
87,88
83,56
80,67
79,72
92,81
81,76
50,68
71,73
56,52
76,77
89,67
70,64
80,75
84,70
80,79
73,58
79,88
57,45
57,61
60,63
75,85
69,66
67,65
81,71
81,82
78,77
78,64
68,71
76,77
67,74
79,88
79,83
93,81
97,85
79,57
60,56
76,76
58,46
58,56
74,53
85,83
84,68
81,67
84,80
79,88
66,56
79,91
79,77
71,50
73,81
73,79
88,88
75,70
81,88
63,60
91,79
87,81
67,68
93,96
93,86
85,79
75,52
86,86
90,85
73,61
61,43
61,63
72,67
64,73
78,82
85,70
79,70
82,82
88,80
77,78
76,79
75,61
81,71
87,77
64,51
79,63
95,84
45,75
69,75
73,76
88,89
79,71
80,87
77,61
84,74
68,69
82,73
80,73
93,90
79,75
66,43
66,70
67,72
81,73
85,85
77,87
85,87
80,62
60,50
76,75
84,71
69,35
69,76
91,85
81,63
80,83
70,72
87,78
63,60
73,84
76,55
88,92
77,69
78,62
63,42
63,51
67,70
90,86
68,59
68,70
90,67
73,56
89,86
93,90
70,59
95,87
83,68
85,81
80,62
82,84
57,62
91,85
79,79
77,57
64,52
82,83
73,63
70,80
60,56
70,61
64,75
61,71
71,78
43,73
66,73
78,70
68,75
83,83
77,50
78,77
81,82
69,51
73,68
93,91
65,46
65,65
68,44
68,76
54,62
43,75
64,75
75,62
74,42
74,65
84,74
75,77
73,70
66,84
50,69
63,61
64,75
79,73
64,90
81,73
76,74
75,68
61,58
80,76
79,72
60,38
60,44
60,26
60,75
73,61
72,57
65,73
63,45
63,79
65,68
73,60
50,58
76,58
77,51
66,50
91,88
70,56
59,54
65,61
58,67
79,72
94,99
67,77
64,74
84,79
69,74
83,86
82,86
79,54
81,60
84,68
91,81
94,94
78,67
67,50
73,46
73,68
66,70
73,61
80,71
76,69
61,58
80,72
76,83
81,82
90,71
68,78
68,41
68,64
66,64
62,82
81,76
75,72
84,88
89,80
68,68
68,71
84,62
80,82
79,87
81,70
73,78
58,64
69,66
62,83
81,87
79,86
46,59
74,59
61,51
61,61
65,46
65,62
64,50
64,52
83,86
89,83
79,57
72,76
70,62
79,78
81,76
95,83
86,74
86,87
88,89
98,91
96,92
83,71
85,86
72,60
77,62
83,71
57,52
84,88
58,42
58,51
75,56
95,92
91,83
80,62
82,51
72,61
83,83
75,64
50,78
82,78
68,45
68,73
71,71
81,81
93,98
77,66
79,57
95,82
69,56
93,93
72,56
38,45
38,55
60,45
60,55
87,87
87,82
89,80
89,92
66,46
66,75
91,87
24,73
71,73
76,89
72,72
75,67
82,78
68,87
80,50
82,69
63,60
80,72
86,76
69,56
57,66
76,78
69,66
72,61
75,68
59,43
59,60
75,68
79,65
89,76
66,55
71,77
87,94
63,61
75,89
91,67
67,61
80,76
61,54
64,63
57,63
76,88
78,74
66,62
79,72
86,78
58,46
58,73
95,93
87,79
81,85
80,96
78,63
81,81
79,45
79,52
85,87
82,77
74,56
60,60
73,65
82,79
87,95
60,65
86,83
91,86
81,84
93,81
77,75
80,73
95,87
86,84
75,65
94,87
89,82
74,81
91,73
73,63
85,86
74,79
72,46
72,65
76,71
81,66
68,53
86,84
70,59
71,74
80,75
84,70
70,89
84,83
65,58
72,67
73,74
84,84
85,82
71,57
71,71
90,91
72,42
72,72
70,80
77,46
77,58
75,50
67,59
80,77
97,91
76,81
79,84
92,97
69,77
77,58
86,80
78,76
69,69
73,68
84,92
83,78
56,70
83,66
71,77
75,77
59,74
75,74
80,82
90,78
67,71
71,87
56,52
77,60
100,100
81,75
87,83
67,42
67,67
53,65
78,72
97,99
65,68
68,58
73,58
91,94
57,54
76,68
61,40
61,50
77,30
77,67
92,94
65,50
85,87
71,58
71,68
53,40
53,84
81,93
55,40
55,62
79,78
82,79
80,83
64,84
95,92
86,79
74,80
97,86
94,92
84,89
78,76
84,81
78,73
58,60
88,85
50,79
57,57
83,74
81,74
78,72
79,66
71,81
82,61
76,73
93,92
81,79
92,92
82,70
84,82
67,62
73,50
86,81
56,69
81,70
87,88
64,74
78,70
84,89
61,50
75,73
72,74
86,76
83,80
60,68
81,68
87,96
63,58
85,74
78,89
72,58
84,70
78,76
92,91
94,80
81,85
61,66
71,64
68,72
85,81
80,71
98,90
84,83
90,82
87,85
62,63
80,77
62,43
62,85
70,65
75,53
58,46
58,76
86,89
56,66
57,43
57,75
82,72
62,43
62,39
62,64
93,80
80,73
79,80
70,46
70,59
83,74
99,99
76,64
78,69
69,56
80,88
79,77
60,52
58,42
58,69
69,69
89,84
96,96
92,78
79,64
88,90
76,59
82,40
82,58
73,53
85,78
87,77
74,93
70,75
51,55
50,50
85,73
83,71
66,60
70,67
87,81
93,95
95,91
63,62
83,92
75,70
56,58
76,83
75,69
74,96
79,62
62,59
74,72
82,75
82,83
87,100
76,78
80,70
68,70
72,59
87,85
88,78
78,67
57,56
89,94
80,72
75,67
86,80
64,42
64,68
68,58
87,87
65,65
65,74
76,64
87,84
46,79
64,79
57,54
79,73
73,64
89,96
89,90
54,37
54,56
85,80
83,69
93,93
87,81
69,67
77,73
94,96
68,69
79,74
81,81
91,92
74,64
84,77
81,76
70,71
59,58
42,67
57,67
71,72
79,82
81,68
56,62
80,71
72,63
63,82
90,96
86,74
75,68
63,63
69,66
94,90
85,91
66,62
60,40
60,69
60,40
60,69
74,86
78,79
69,73
86,75
80,86
84,77
50,67
81,76
84,75
81,65
79,71
65,41
65,68
71,73
82,63
71,57
74,65
61,71
79,71
74,65
90,86
84,93
88,80
64,68
70,71
90,71
87,86
64,60
80,89
87,75
80,76
60,68
76,68
63,55
72,63
55,54
78,70
70,56
72,70
87,78
82,83
83,75
82,91
92,97
62,41
62,81
83,83
77,51
59,63
83,84
98,92
64,70
65,58
84,87
75,75
69,65
75,60
68,57
72,79
72,62
82,73
62,60
75,85
69,50
62,69
58,70
67,60
92,100
85,57
73,59
71,66
67,57
88,78
65,60
50,64
78,80
85,76
62,59
67,66
77,75
83,73
72,83
66,60
74,70
87,87
53,36
53,65
84,86
91,67
70,72
58,42
58,57
70,65
84,65
71,70
96,89
82,81
70,52
70,58
56,71
87,88
87,88
74,75
80,70
73,60
93,93
69,35
69,67
80,72
72,60
64,75
62,44
62,62
94,83
63,61
85,75
58,55
78,68
78,53
80,85
66,46
66,64
61,54
50,54
56,54
81,68
58,46
58,67
87,82
76,69
38,59
64,59
83,57
72,61
85,89
59,74
67,86
72,77
80,77
83,83
91,88
62,44
62,74
83,81
70,75
57,67
85,81
75,77
82,65
90,73
78,72
85,86
80,79
74,83
74,53
76,82
55,38
55,71
76,71
43,58
72,58
88,81
79,74
76,56
75,43
75,74
50,38
72,72
78,64
86,83
82,70
84,86
66,61
75,63
79,78
67,66
64,74
73,79
93,96
88,86
68,26
68,75
70,66
72,75
69,58
66,64
72,73
71,72
82,83
61,54
81,73
81,75
77,90
63,66
82,90
55,80
67,72
89,86
99,94
85,80
73,75
73,62
59,69
61,54
77,83
57,62
67,54
86,95
67,65
88,90
79,65
68,60
76,78
71,78
64,70
91,68
92,90
64,26
64,46
85,66
72,92
89,78
60,50
68,43
68,66
71,57
54,46
54,65
79,79
94,87
72,69
84,78
85,87
86,88
76,66
80,82
85,71
87,86
60,64
76,68
91,93
74,67
62,69
64,54
83,77
69,60
81,82
92,92
65,43
65,65
81,78
81,76
82,85
87,79
59,60
83,78
84,88
75,72
72,73
96,90
80,79
83,50
59,66
51,50
77,50
50,62
60,55
74,54
82,66
76,60
77,80
87,81
66,67
63,59
83,77
70,54
80,80
81,84
95,96
77,74
62,52
65,62
89,89
80,74
81,76
77,74
79,79
88,78
73,72
86,76
78,84
76,60
76,54
46,79
73,79
77,76
63,70
68,64
89,94
65,55
86,75
73,73
88,84
85,77
79,69
81,61
84,70
50,24
50,46
82,81
87,91
58,67
74,64
94,82
77,63
80,75
73,75
77,79
78,91
89,88
79,75
76,79
59,61
72,70
84,75
72,72
79,72
86,73
80,52
75,63
75,60
84,83
81,64
82,72
71,67
97,96
58,59
80,79
81,82
61,43
61,50
72,74
72,58
76,75
50,65
57,59
84,76
80,80
69,59
80,73
79,84
90,71
90,74
86,86
69,35
69,71
61,59
65,57
80,75
71,79
73,65
80,68
60,46
60,68
68,42
68,62
68,54
82,77
64,58
78,74
81,80
51,65
81,82
85,78
69,61
85,83
67,83
92,92
71,63
71,58
74,76
59,38
59,67
67,36
67,45
67,68
82,61
90,91
66,55
87,86
85,96
86,85
84,84
76,79
70,69
84,81
82,72
90,89
83,88
79,72
71,69
74,69
75,77
70,62
69,54
80,66
90,89
65,69
74,80
82,76
82,68
81,67
92,82
88,81
85,83
87,90
83,71
