CS134,CS448
80,82
87,50
80,73
75,82
91,85
63,64
62,50
75,88
85,77
77,88
74,65
80,78
65,62
86,68
72,78
78,73
85,70
67,78
58,67
82,64
78,75
85,69
58,82
73,66
81,52
75,65
70,74
56,64
90,82
74,71
83,65
79,78
71,73
67,88
81,76
81,73
78,64
97,90
76,67
84,52
84,86
66,74
73,68
88,87
75,67
93,87
75,59
86,89
90,80
73,57
82,74
95,79
73,64
80,77
80,83
81,71
60,67
69,57
91,67
81,62
80,80
63,60
73,82
77,65
67,72
89,75
70,72
83,80
80,42
77,58
82,80
73,69
70,78
70,64
71,50
78,68
68,68
83,91
78,78
81,66
69,71
65,77
54,54
75,76
73,77
63,82
79,69
81,70
76,64
72,62
65,81
73,56
50,74
76,74
66,69
91,82
59,65
67,71
64,82
83,70
91,74
73,62
76,64
61,79
76,75
90,78
68,86
62,67
81,79
75,85
80,63
81,86
79,64
64,67
89,24
79,78
70,70
86,67
98,96
75,74
75,60
68,65
71,69
79,51
69,58
89,68
24,50
71,50
80,76
69,86
59,70
75,70
66,68
71,52
63,57
80,95
61,85
64,64
57,50
66,73
79,64
86,71
87,79
81,92
74,46
74,54
60,55
73,61
81,85
77,83
75,84
91,50
73,68
72,57
76,64
68,63
70,73
84,69
84,67
65,67
71,68
71,85
72,72
80,85
97,90
92,82
77,76
78,71
83,78
83,82
71,62
75,77
78,60
65,74
68,68
76,78
64,73
86,67
97,81
84,81
88,90
57,52
83,66
81,73
92,88
64,84
72,71
60,50
81,65
63,63
78,69
92,86
94,84
61,94
85,82
62,59
62,69
82,74
93,86
80,67
69,62
79,71
92,94
73,59
87,57
70,72
87,76
93,99
75,65
76,86
79,76
80,76
68,86
72,66
78,71
80,84
68,73
87,85
65,85
76,62
73,69
87,77
69,73
68,74
81,79
59,62
79,69
56,76
80,85
72,68
63,67
69,58
85,86
66,68
78,79
69,67
50,63
84,79
71,68
71,60
90,87
84,90
64,81
87,80
60,60
76,72
63,61
72,69
55,78
78,86
65,66
84,97
68,80
72,67
62,56
67,53
67,57
65,56
78,80
62,68
67,89
83,76
72,85
66,85
74,74
70,83
70,70
70,59
87,82
80,54
69,75
80,79
72,68
63,79
78,73
78,50
66,67
81,61
87,77
76,68
72,51
59,66
72,64
91,99
62,61
70,77
57,65
78,74
43,61
72,61
88,86
79,82
76,76
79,70
64,56
88,86
68,74
66,62
72,67
61,46
63,68
67,83
59,58
57,73
67,74
67,85
88,95
68,67
71,74
91,58
85,85
79,86
85,89
80,68
85,57
87,90
62,69
83,81
81,66
81,86
82,86
75,68
72,68
96,89
82,67
76,72
66,54
70,38
81,86
62,75
65,63
77,70
79,82
88,76
78,64
46,64
73,64
63,68
68,67
88,50
85,74
79,75
82,83
77,71
72,69
86,70
80,85
75,74
82,80
72,82
50,55
57,67
80,71
90,70
69,54
61,61
65,59
71,82
68,72
82,81
78,57
81,82
85,78
69,64
67,70
67,63
90,83
86,62
79,60
71,59
75,82
69,76
65,66
82,82
82,74
85,72
93,86
79,67
84,82
33,86
58,86
82,75
86,67
81,85
76,59
87,92
81,77
73,79
73,65
67,69
83,83
65,74
74,76
73,77
83,100
82,76
85,94
75,73
74,68
76,81
73,64
78,78
88,80
74,82
90,91
78,77
79,73
91,85
82,40
75,85
63,63
72,78
42,66
85,66
91,64
74,71
73,43
76,45
69,66
83,74
79,83
76,64
80,91
63,81
81,91
88,89
72,50
79,74
70,75
65,90
63,68
79,73
74,61
75,76
66,65
53,62
76,74
77,56
76,77
58,70
81,59
74,63
74,59
85,60
69,60
70,70
59,80
72,78
80,79
76,82
70,67
73,57
72,69
64,61
83,91
90,97
76,72
64,65
68,90
72,59
82,75
72,68
73,77
80,70
77,68
67,65
54,57
60,75
81,68
64,80
90,82
75,80
73,72
81,76
79,78
66,62
57,77
82,66
76,77
80,88
64,57
78,79
79,70
73,58
67,73
70,76
85,100
66,78
60,67
72,73
65,67
83,78
83,45
83,79
79,65
74,84
70,82
80,42
67,58
70,73
86,71
74,78
72,74
80,65
68,67
63,52
66,64
78,63
63,70
70,45
70,68
82,82
76,60
86,71
77,80
82,78
65,71
88,63
89,82
84,88
80,58
86,55
74,57
75,74
61,76
75,50
68,60
77,60
69,70
80,61
73,78
68,65
70,67
85,79
65,73
87,87
62,66
71,73
76,88
81,78
78,52
66,70
84,66
67,71
87,61
81,76
74,61
80,73
72,61
58,60
80,76
87,80
42,54
50,54
75,78
81,76
67,92
81,76
79,67
83,88
96,95
59,82
73,62
89,83
82,70
80,69
72,55
76,75
85,83
88,84
89,78
61,68
84,90
73,76
67,71
60,79
76,80
82,82
86,82
89,79
82,90
71,79
92,86
87,71
78,75
70,56
79,77
67,60
70,80
85,74
77,66
70,74
52,69
89,73
68,58
76,75
95,82
80,83
82,45
82,67
79,69
61,56
91,68
78,76
75,70
74,74
87,85
83,81
86,86
87,84
81,96
74,83
83,80
82,68
61,64
78,68
71,46
71,69
