,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
1,525934,350,21,67,445,29,73
2,526165,350,17,83,445,21,81
5,788547,350,23,64,445,31,91
6,133520,350,27,68,445,33,64
7,526806,350,27,75,445,33,83
8,134110,350,23,90,445,31,78
9,920646,350,23,94,445,31,95
10,789824,350,21,30,445,29,71
13,528297,350,27,80,445,33,85
14,266249,350,23,77,445,31,71
15,790931,350,23,81,445,31,77
16,660594,350,31,58,445,33,64
18,138275,350,27,65,445,43,80
19,400629,350,27,70,445,31,70
20,924921,350,23,75,445,31,72
21,269954,350,31,71,445,33,73
22,795093,350,23,68,445,31,65
23,401989,350,23,80,445,31,78
24,533953,350,41,50,445,43,71
25,927348,350,21,90,445,33,70
26,403527,350,15,86,445,21,68
27,403623,350,27,71,445,33,63
28,928379,350,27,82,445,33,78
29,928493,350,21,50,445,41,77
30,928493,350,27,81,445,41,77
31,404241,350,21,70,445,41,44
32,273411,350,21,72,445,29,72
34,142952,350,23,70,445,33,77
35,667372,350,27,88,445,41,79
36,929911,350,27,81,445,33,88
37,798966,350,23,73,445,31,84
38,406619,350,27,80,445,41,77
39,668864,350,27,70,445,33,81
40,669024,350,23,62,445,31,84
41,407676,350,27,70,445,33,68
42,146062,350,27,80,445,33,64
45,278894,350,17,85,445,23,76
46,934488,350,23,69,445,31,76
47,934598,350,21,80,445,29,75
48,148179,350,21,74,445,41,85
49,410494,350,31,77,445,33,83
50,673030,350,27,54,445,33,65
51,280349,350,29,74,445,39,72
52,935908,350,25,61,445,29,61
53,411831,350,33,43,445,43,67
54,411831,350,41,74,445,43,67
55,542919,350,23,71,445,31,87
56,542945,350,27,63,445,33,79
57,674299,350,23,71,445,31,77
58,150060,350,27,34,445,35,56
59,150060,350,31,61,445,35,56
60,150281,350,27,76,445,41,77
61,675865,350,21,43,445,41,77
62,675865,350,27,66,445,41,77
63,545134,350,23,87,445,31,70
65,283256,350,17,66,445,21,54
66,283452,350,13,75,445,21,77
68,677437,350,17,71,445,21,68
69,677618,350,23,75,445,31,78
70,284991,350,27,72,445,33,65
71,809553,350,23,78,445,31,74
72,154198,350,19,62,445,21,70
73,941245,350,23,70,445,31,78
74,941726,350,3,35,445,11,36
75,941726,350,3,35,445,21,66
76,941726,350,7,67,445,11,36
77,941726,350,7,67,445,21,66
78,155674,350,17,79,445,25,67
79,811535,350,27,82,445,33,76
80,811750,350,7,73,445,11,69
81,287990,350,27,72,445,43,73
82,419311,350,11,33,445,13,45
84,288426,350,21,64,445,31,69
85,681731,350,47,66,445,53,69
86,943990,350,27,76,445,33,82
87,157683,350,23,51,445,33,77
88,288910,350,29,58,445,31,60
89,683125,350,17,70,445,21,67
90,421562,350,23,74,445,31,95
91,290499,350,31,43,445,43,79
92,290499,350,41,82,445,43,79
93,290808,350,27,80,445,31,64
94,159949,350,27,54,445,33,65
95,816273,350,25,60,445,29,46
96,685309,350,23,63,445,31,80
97,292516,350,31,52,445,61,79
98,424473,350,27,75,445,41,80
99,686674,350,27,86,445,33,76
100,687361,350,23,71,445,31,62
101,294200,350,27,80,445,33,76
103,426025,350,27,85,445,33,81
104,819879,350,21,82,445,29,80
105,426693,350,37,73,445,43,81
106,689050,350,23,93,445,31,90
107,296695,350,23,72,445,31,88
108,429001,350,11,41,445,21,83
109,429001,350,13,60,445,21,83
110,691350,350,27,70,445,41,63
111,298316,350,21,62,445,25,83
112,691665,350,23,74,445,31,74
