CS134,CS442
83,72
72,97
85,58
81,79
95,94
75,51
84,95
63,66
77,70
64,45
81,72
75,59
76,52
91,94
75,69
86,81
70,58
70,76
86,69
97,96
91,91
80,69
97,68
79,50
61,93
83,64
96,99
85,75
82,65
88,73
89,85
76,68
74,65
70,62
73,55
77,63
89,100
99,95
88,100
71,68
76,71
91,93
82,82
80,71
73,94
80,68
82,94
81,75
92,68
82,56
82,78
77,81
82,70
76,75
82,71
78,54
88,75
72,38
87,94
84,76
66,74
76,80
86,79
86,84
92,92
95,100
70,59
72,75
68,29
81,77
70,57
73,59
83,52
85,85
57,92
80,62
74,70
74,80
78,62
77,63
89,82
80,63
87,71
74,67
56,66
71,65
82,72
81,83
73,62
93,100
88,75
87,81
