CS454,CS447
69,70
70,70
82,74
80,74
81,87
89,80
71,77
74,73
72,72
67,80
78,82
78,80
72,65
69,76
77,66
72,82
31,70
78,70
78,78
79,81
53,74
82,72
64,72
87,97
74,68
73,74
81,82
64,82
79,92
67,84
77,75
72,73
65,80
77,75
86,86
90,91
62,73
84,84
66,75
72,76
76,77
81,72
75,75
74,76
76,80
78,78
90,76
78,77
86,80
62,73
79,84
89,83
79,50
75,71
84,85
86,67
80,84
79,78
60,80
96,94
81,71
72,74
85,69
62,56
90,83
78,67
71,70
79,85
50,60
66,77
73,68
69,74
60,65
78,92
77,51
74,80
81,69
83,87
88,91
68,84
77,81
84,65
76,75
75,84
75,69
