CS246,CS350
61,64
74,87
73,94
62,73
73,60
72,64
86,86
65,72
82,80
74,80
69,65
72,41
72,69
70,71
66,67
69,76
51,71
87,83
61,46
61,66
80,86
54,46
54,46
54,64
67,79
86,92
70,68
57,62
69,75
74,83
62,67
72,72
78,65
46,64
65,64
50,87
82,90
85,94
84,87
83,73
80,30
80,88
84,91
50,77
65,63
79,79
48,73
70,80
80,65
71,77
67,46
67,74
70,81
75,61
92,94
77,65
43,58
65,58
92,97
64,50
90,94
80,80
66,66
80,73
74,85
73,68
97,96
85,80
73,73
88,91
62,63
65,59
70,65
43,70
50,70
74,65
74,68
78,67
92,99
77,75
77,81
84,73
62,73
83,74
61,65
81,76
62,70
73,75
79,77
52,69
60,66
71,53
76,63
50,71
81,85
82,77
46,63
68,63
46,69
73,69
69,70
86,76
81,74
75,64
73,61
70,85
75,64
72,58
82,68
80,72
88,83
78,80
85,82
60,70
73,54
75,81
78,80
70,65
74,76
80,64
78,76
56,50
62,55
75,90
74,91
75,66
69,71
76,70
79,46
79,69
60,60
68,55
66,70
65,71
76,59
87,86
87,78
73,63
69,72
82,44
82,70
80,71
87,78
69,50
74,74
87,86
88,91
77,82
81,67
70,50
70,81
65,70
71,68
73,80
73,72
88,89
62,68
68,72
87,68
66,60
83,75
67,69
59,59
82,89
82,79
77,70
50,50
93,88
61,81
73,27
73,61
60,61
77,77
84,91
80,69
61,75
70,81
83,67
82,83
73,73
67,66
83,62
68,65
71,73
82,98
61,45
61,71
73,67
81,81
80,80
74,67
78,82
79,76
75,72
73,80
51,70
78,76
70,62
87,93
70,85
68,65
89,80
70,65
70,81
71,71
86,87
50,58
63,65
83,80
79,68
68,71
92,85
71,76
73,54
73,70
85,71
62,38
62,56
81,80
72,55
70,65
54,82
80,72
83,80
80,71
72,57
69,70
70,73
63,57
84,81
83,90
50,64
91,86
82,77
73,87
81,81
68,75
79,50
59,93
85,91
60,53
80,85
76,68
80,78
56,81
79,81
84,70
80,83
87,69
73,71
56,76
81,70
70,80
68,74
80,72
70,77
62,57
85,87
72,50
79,72
88,81
74,67
60,54
86,85
63,39
63,75
79,67
69,68
67,59
70,74
71,67
63,61
69,63
82,72
64,43
64,74
63,71
68,63
61,68
65,68
87,63
79,67
80,83
67,65
81,80
73,50
87,71
86,68
55,34
55,61
51,50
56,76
67,78
73,73
76,75
80,75
59,64
67,54
68,45
68,64
73,71
66,67
81,84
71,52
57,69
50,36
50,42
50,65
68,36
68,42
68,65
64,43
64,66
97,99
74,74
62,76
52,67
81,86
77,60
76,87
77,70
70,79
37,66
73,66
82,75
91,75
88,87
60,60
69,65
72,69
73,58
72,67
74,79
64,60
74,52
62,68
66,79
78,68
50,86
73,71
81,75
65,50
73,53
72,69
72,80
65,77
87,91
88,86
81,77
79,77
70,67
80,73
78,72
79,73
83,80
68,62
72,78
63,70
70,62
70,72
83,82
76,75
59,70
66,67
60,76
76,82
66,80
83,55
76,89
71,69
78,77
58,67
84,88
69,69
79,79
81,84
92,90
91,97
83,76
80,86
71,75
61,78
70,82
79,83
66,40
75,73
46,97
72,97
88,88
72,58
87,88
66,61
70,83
66,76
52,41
52,56
82,86
88,72
62,64
72,50
50,65
79,82
60,33
60,55
79,72
88,77
55,64
75,63
53,66
81,80
58,81
80,76
86,96
84,93
62,51
50,37
50,81
75,82
67,58
80,73
81,77
64,67
71,75
60,56
95,80
58,70
80,73
52,70
69,39
69,75
78,74
70,43
70,82
70,85
70,86
85,77
85,65
63,80
72,76
72,85
64,56
82,54
65,74
73,74
78,69
73,66
56,60
83,81
63,67
64,76
77,63
91,89
82,87
70,60
65,78
78,60
72,50
80,86
81,63
95,85
72,71
77,38
77,61
81,77
79,52
86,77
76,68
53,67
72,66
82,70
75,93
54,50
75,87
84,86
86,75
82,78
88,86
59,70
77,88
84,82
80,71
78,77
73,67
70,55
78,58
80,83
60,83
66,71
82,80
74,56
88,74
90,92
81,74
77,61
53,40
53,34
78,83
88,85
86,86
68,68
68,91
79,75
74,76
86,68
46,56
65,56
76,66
77,90
69,63
75,82
75,67
71,73
70,65
71,45
71,78
84,93
81,86
66,61
81,93
85,70
73,75
67,70
64,82
78,79
78,67
89,88
83,72
63,64
72,62
78,58
88,72
77,94
57,68
87,79
75,84
70,32
70,68
97,98
75,73
86,89
90,97
78,72
73,69
96,91
59,41
59,60
68,72
64,70
74,62
91,84
44,56
61,56
60,74
74,65
76,74
76,60
67,73
62,52
93,85
54,44
54,59
80,78
82,82
81,81
95,85
81,88
81,56
72,77
89,88
90,90
86,75
69,58
75,78
79,82
69,68
87,83
74,84
61,50
80,81
53,62
67,61
73,78
78,90
75,58
81,70
94,71
72,80
74,81
76,58
70,83
59,51
67,58
62,63
81,63
63,75
89,85
55,52
72,78
71,65
84,78
77,77
73,42
73,60
75,64
71,67
89,85
86,89
64,74
76,72
81,74
76,56
96,95
77,83
84,85
78,60
63,58
59,72
95,91
80,61
77,70
75,76
83,82
81,95
82,72
79,88
91,89
60,44
60,55
58,80
58,62
57,70
77,74
60,50
80,93
92,94
60,78
61,54
81,83
46,53
50,53
91,93
55,57
80,85
89,88
92,77
71,71
46,25
46,65
57,25
57,65
76,70
100,100
51,60
73,73
85,90
73,82
70,68
71,70
54,50
68,71
74,67
80,88
83,82
90,82
70,90
76,80
57,32
57,72
53,56
66,81
88,96
77,87
85,70
70,35
70,70
86,65
73,58
68,43
68,67
79,74
65,46
65,70
74,54
77,78
83,83
82,93
82,70
72,58
63,70
59,65
80,73
91,85
72,68
61,68
65,64
65,71
79,84
85,92
57,60
84,65
