,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,663821,343,29,72,483,31,70
1,927823,343,41,59,483,43,57
2,403860,343,41,67,483,43,70
3,671191,343,33,80,483,43,70
4,802383,343,33,81,483,43,82
5,148423,343,33,86,483,43,80
6,148488,343,41,74,483,43,58
8,155496,343,33,79,483,43,92
9,287987,343,33,87,483,43,88
10,419973,343,27,85,483,33,77
14,308855,343,33,86,483,43,79
15,703751,343,33,70,483,43,67
16,970736,343,33,82,483,43,83
18,186041,343,37,85,483,43,85
19,450405,343,33,75,483,43,62
20,194153,343,33,86,483,43,86
21,852690,343,41,77,483,43,75
22,984759,343,33,82,483,43,82
23,330046,343,33,85,483,43,81
24,723806,343,33,59,483,43,70
25,725315,343,41,59,483,43,67
26,343799,343,41,76,483,43,86
27,475963,343,33,90,483,43,79
28,478067,343,33,69,483,43,71
29,347473,343,33,88,483,43,83
32,752642,343,33,81,483,43,80
33,755603,343,33,82,483,43,78
34,892060,343,33,83,483,43,67
36,763357,343,31,62,483,33,85
37,642550,343,33,80,483,43,83
40,781255,343,33,86,483,43,72
41,651171,343,41,71,483,43,61
