CS132,CS240
93,72
73,53
71,68
93,90
71,50
71,61
84,76
84,76
82,67
90,83
69,67
84,61
70,67
79,84
65,54
88,81
94,77
81,59
88,82
64,41
64,74
90,59
81,62
73,68
79,63
75,61
83,69
72,68
68,40
68,62
79,43
79,52
80,80
89,62
95,75
78,57
85,86
86,72
100,80
95,89
83,59
94,73
79,68
84,74
65,66
35,51
80,75
93,67
70,60
78,80
75,64
95,67
88,46
88,55
81,81
85,61
61,62
70,54
95,78
88,69
86,75
87,89
74,66
90,92
78,57
92,79
91,76
93,81
95,62
69,50
72,64
79,84
92,79
88,84
85,57
65,53
84,79
59,57
72,70
59,64
95,79
79,67
96,85
84,67
70,63
44,63
63,36
63,70
58,53
85,70
94,65
81,71
81,62
64,76
84,77
62,55
81,61
90,54
87,60
74,72
90,70
44,60
75,60
82,82
83,89
65,62
87,71
96,56
77,40
78,66
64,76
85,77
83,72
88,50
63,50
87,56
57,64
82,53
79,57
89,67
94,73
73,58
80,68
84,58
80,74
70,50
82,69
72,77
87,69
66,52
90,86
83,78
73,71
76,67
84,76
80,60
80,61
88,72
88,64
83,69
85,69
74,62
94,74
68,63
89,72
81,53
96,84
89,57
69,67
76,57
93,72
93,73
77,74
75,64
90,78
95,81
78,70
84,70
79,68
92,85
80,62
91,73
83,67
79,67
84,59
90,77
79,64
87,38
87,53
88,57
79,68
95,76
94,76
89,66
80,57
74,57
89,55
96,89
79,54
80,75
80,80
60,70
81,62
80,60
83,64
83,86
93,74
59,64
70,59
92,82
59,52
88,78
82,62
84,69
91,78
84,73
70,65
80,46
82,70
71,66
81,64
82,61
90,62
76,67
96,57
88,62
75,59
92,65
96,84
84,67
78,70
78,83
61,73
73,62
76,68
88,66
83,72
63,38
63,57
71,70
89,72
68,51
85,73
82,50
86,74
78,58
91,86
81,70
63,67
89,55
84,67
80,57
85,70
90,94
75,55
93,54
76,62
72,58
89,72
70,44
84,65
58,68
70,73
75,73
63,46
63,68
87,75
87,82
83,65
90,50
