grade1,grade2
80,79
91,85
87,86
66,72
90,90
82,85
94,99
81,85
77,94
80,85
73,79
81,85
85,72
80,69
81,84
57,65
75,86
93,82
74,74
66,81
79,89
93,92
79,92
77,71
67,95
90,85
91,78
73,63
50,88
80,93
91,82
73,81
68,97
80,86
58,89
62,64
77,74
82,85
89,88
66,90
24,63
71,63
76,78
75,81
71,80
73,58
77,80
72,72
76,77
70,76
84,76
77,81
97,84
75,70
76,90
53,79
78,67
88,89
78,88
84,77
71,73
84,90
79,81
76,76
74,90
80,80
86,85
73,85
78,67
86,76
84,84
90,83
88,83
87,72
64,74
72,83
73,69
67,75
65,82
67,87
56,64
87,92
87,84
78,78
66,82
83,87
76,80
79,80
63,69
55,69
67,77
71,78
91,58
92,83
86,89
60,83
74,85
64,74
83,89
75,71
76,72
77,78
86,76
78,84
81,67
82,77
74,90
75,76
82,76
58,80
90,71
80,93
82,84
87,87
86,68
79,76
80,66
84,82
61,87
71,72
74,82
89,76
91,80
75,80
91,73
75,81
46,85
76,85
76,67
74,77
65,62
70,75
76,71
64,72
70,80
79,73
76,94
79,79
73,78
82,86
57,87
83,72
63,84
70,89
74,88
67,83
56,71
61,88
80,84
69,92
71,79
78,81
65,76
51,92
77,84
81,85
85,88
65,70
70,69
79,76
77,70
59,64
78,78
52,80
59,68
70,82
86,62
