grade1,grade2
82,91
69,80
72,81
76,76
77,76
78,67
62,69
66,74
72,83
65,64
81,83
79,82
65,95
58,90
80,95
63,83
88,90
83,84
83,77
57,82
71,74
75,80
77,86
39,72
68,77
69,60
31,62
82,84
82,70
54,75
72,83
77,90
63,74
73,96
95,83
79,89
72,88
86,98
70,80
59,56
79,84
88,82
67,67
50,63
67,50
67,78
58,72
70,87
81,97
50,73
85,91
43,56
78,71
69,69
62,53
92,82
59,50
66,67
74,82
68,55
38,42
51,78
74,75
82,76
78,86
80,91
61,74
63,79
74,77
95,87
78,90
75,82
71,88
77,75
89,85
62,78
78,87
61,66
61,83
86,72
87,96
64,84
79,91
84,95
50,65
62,73
59,56
85,85
71,81
89,86
67,60
84,82
65,65
70,72
50,65
86,83
65,73
69,56
54,63
45,67
69,67
66,89
74,55
58,90
70,62
66,87
77,89
66,85
55,76
87,87
75,69
66,68
68,62
65,68
86,81
80,82
75,46
68,72
68,72
73,87
39,65
88,97
77,85
85,66
54,77
90,85
81,81
78,90
