,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,526365,370,29,63,338,39,64
1,659166,370,17,60,338,21,73
3,795564,370,15,41,338,31,87
5,927838,370,31,54,338,41,72
7,801568,370,27,50,338,51,79
9,679013,370,33,47,338,53,76
10,690378,370,33,50,338,43,67
11,166635,370,31,43,338,35,59
12,955189,370,15,72,338,31,66
13,300271,370,31,89,338,37,81
14,307515,370,53,63,338,57,46
16,833862,370,21,61,338,29,72
17,573237,370,31,64,338,47,37
18,573237,370,31,64,338,51,65
20,839734,370,21,40,338,41,69
21,839734,370,27,30,338,41,69
26,458718,370,13,55,338,31,56
28,996767,370,17,51,338,37,84
29,348979,370,41,74,338,51,70
31,495147,370,27,38,338,33,62
32,766745,370,27,82,338,41,75
33,246253,370,37,60,338,43,68
34,379287,370,13,66,338,27,85
35,379428,370,31,65,338,33,74
36,904805,370,25,43,338,35,34
