CS370,CS447
59,70
63,70
71,72
64,68
91,86
89,87
77,79
60,81
76,61
81,87
86,80
78,76
94,76
82,77
67,73
67,82
72,52
41,65
80,65
82,74
75,72
41,72
72,77
78,80
74,82
72,66
57,61
85,82
72,75
84,80
72,77
79,69
93,98
77,89
85,85
86,65
80,76
66,66
70,80
76,71
66,78
66,70
92,78
65,71
65,81
82,66
94,82
53,70
43,84
42,84
90,73
61,74
83,78
71,78
88,77
85,88
50,72
50,83
64,72
97,97
77,68
70,74
83,80
81,95
84,72
68,70
68,82
75,92
82,68
79,82
89,92
70,76
82,72
71,73
86,72
78,80
72,74
84,86
85,91
67,84
84,75
78,70
71,76
82,82
81,80
57,56
57,74
90,86
66,80
84,76
68,73
70,58
78,70
64,71
87,91
60,73
82,80
80,73
80,84
66,75
84,85
76,73
82,76
64,64
66,77
71,79
72,86
72,81
68,72
84,75
82,55
65,84
76,76
80,80
75,65
61,70
85,80
86,77
82,67
68,81
90,90
54,70
88,96
78,76
68,73
78,78
74,84
71,77
88,86
78,72
77,77
91,86
80,73
65,78
73,84
79,68
51,76
83,83
88,85
85,71
77,85
80,71
89,84
75,67
70,66
82,78
65,66
81,94
58,72
73,86
84,71
82,80
70,72
76,74
60,65
65,72
61,79
82,69
74,56
64,83
79,69
90,77
75,75
51,67
83,82
68,72
82,81
78,85
60,60
79,77
85,78
82,75
63,80
82,65
63,57
52,68
71,74
78,83
62,80
94,90
84,92
81,80
77,51
75,80
82,80
88,83
71,69
70,82
83,90
55,79
70,87
74,71
88,91
91,84
86,81
78,70
61,62
63,65
80,75
29,84
72,84
82,81
71,67
90,83
75,67
73,76
54,69
