,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,788540,365,13,96,486,23,88
1,266931,365,23,76,486,37,84
3,924489,365,33,61,486,41,73
5,276104,365,13,45,486,31,70
6,933353,365,23,96,486,41,90
7,671542,365,23,63,486,37,88
8,805911,365,23,63,486,37,78
9,676457,365,23,92,486,27,66
10,939316,365,23,60,486,41,71
11,677584,365,3,87,486,21,72
12,157271,365,13,89,486,37,67
13,947423,365,33,90,486,51,86
14,555508,365,17,64,486,25,74
15,425297,365,13,74,486,27,71
17,167249,365,23,87,486,37,87
19,171363,365,23,85,486,31,96
20,830585,365,23,93,486,27,89
22,571993,365,13,90,486,23,89
23,180625,365,33,98,486,43,93
24,312164,365,23,72,486,31,67
25,967592,365,11,93,486,31,95
26,708867,365,23,100,486,37,87
27,972337,365,33,82,486,47,71
28,186283,365,11,92,486,31,87
30,317560,365,33,77,486,47,59
31,711314,365,23,91,486,31,88
32,320713,365,13,100,486,27,96
33,583065,365,33,68,486,47,62
34,717056,365,13,63,486,21,88
35,849641,365,33,90,486,47,79
36,201045,365,13,53,486,27,58
37,988567,365,23,70,486,31,60
38,464421,365,23,84,486,31,85
39,598481,365,33,93,486,43,67
40,208770,365,13,93,486,31,71
41,209846,365,23,85,486,31,73
44,476552,365,33,62,486,37,44
45,483364,365,23,70,486,33,55
46,223825,365,23,89,486,37,81
47,620507,365,23,70,486,43,67
48,365271,365,23,87,486,37,94
49,103216,365,23,79,486,31,74
50,890356,365,13,70,486,27,73
51,366278,365,13,78,486,17,87
52,104655,365,23,95,486,37,86
53,891420,365,33,57,486,43,69
54,375409,365,23,79,486,33,91
55,906699,365,23,90,486,37,67
56,646445,365,21,91,486,25,85
57,779772,365,23,79,486,37,90
58,126314,365,23,61,486,37,68
59,651702,365,23,97,486,33,82
60,914167,365,23,100,486,37,91
61,391015,365,23,57,486,31,56
62,785372,365,23,87,486,27,97
