date,value
CS492,9
CS499,9
CS497,9
CS446,4
CS452,4
CS450,4
CS480,4
CS482,2
CS489,2
CS432,2
CS490,2
CS330,1
CS445,1
CS487,1
CS472,1
CS365,1
CS473,1
CS447,1
