date,value
CS492,10
CS497,9
CS446,6
CS132,5
CS450,4
CS480,4
CS483,3
CS452,3
CS330,2
CS489,2
CS445,2
CS490,2
CS365,2
CS348,2
CS454,1
CS349,1
CS462,1
