date,value
CS497,9
CS499,9
CS492,9
CS432,5
CS452,4
CS480,4
CS446,4
CS450,3
CS472,3
CS251,3
CS330,2
CS482,2
CS445,2
CS489,2
CS490,1
CS365,1
CS487,1
CS473,1
