date,value
CS499,10
CS497,9
CS492,9
CS452,4
CS446,4
CS480,4
CS450,4
CS432,2
CS489,2
CS482,2
CS330,2
CS365,1
CS445,1
CS251,1
CS490,1
CS473,1
CS487,1
