date,value
CS492,9
CS497,9
CS499,9
CS472,5
CS450,5
CS446,4
CS452,4
CS480,4
CS462,2
CS482,2
CS489,2
CS490,1
CS473,1
CS348,1
CS245,1
CS365,1
CS447,1
CS445,1
