date,value
CS499,9
CS492,9
CS497,9
CS482,5
CS480,4
CS251,4
CS452,4
CS446,4
CS450,3
CS445,2
CS472,2
CS490,2
CS473,2
CS348,1
CS498,1
CS489,1
CS447,1
